,ticker,timestamp,headline,summary
0,ADBE,2022-02-07T17:41:30Z,Check Out What Whales Are Doing With ADBE,"Someone with a lot of money to spend has taken a bearish stance on Adobe (NASDAQ:ADBE).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
1,ADBE,2022-02-02T12:40:55Z,Executives Sell Over $20M Of 5 Stocks,"Although US stocks closed higher on the first trading day of February, there were a few notable insider trades."
2,ADBE,2022-02-01T17:46:35Z,10 Information Technology Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
3,ADBE,2022-01-31T18:07:13Z,Looking At Adobe's Recent Whale Trades,"A whale with a lot of money to spend has taken a noticeably bearish stance on Adobe.
Looking at options history for Adobe (NASDAQ:ADBE) we detected 42 strange trades."
4,ADBE,2022-01-28T14:49:05Z,Ominous Death Cross Forms On Adobe's Chart,"If history is any guide, there may be trouble ahead for shares of Adobe (NASDAQ:ADBE).  A so-called &#34;death cross&#34; has formed on its chart and, not surprisingly, this could be bearish for the stock."
5,ADBE,2022-01-27T20:07:27Z,(ADBE) - Analyzing Adobe Inc's Short Interest,"Adobe Inc&#39;s (NASDAQ:ADBE) short percent of float has risen 32.67% since last its last report. The company recently reported that it has 6.36 million shares sold short, which is 1.34% of all regular shares that are available for trading."
6,ADBE,2022-01-26T16:56:55Z,"Shares of companies in the software space were trading higher, rebounding from recent weakness amid a rise in yields and concerns over fed tapering, which has caused volatility in the sector. Stronger-than-expected Q4 earnings results from Microsoft have also helped lift the space.",
7,ADBE,2022-01-26T17:38:12Z,10 Information Technology Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
8,ADBE,2022-01-26T16:02:39Z,What Are Whales Doing With Adobe,"A whale with a lot of money to spend has taken a noticeably bearish stance on Adobe.
Looking at options history for Adobe (NASDAQ:ADBE) we detected 16 strange trades."
9,ADBE,2022-01-21T17:02:11Z,Where Adobe Stands With Analysts,"Over the past 3 months, 13 analysts have published their opinion on Adobe (NASDAQ:ADBE) stock. These analysts are typically employed by large Wall Street banks and tasked with understanding a company&#39;s business to predict how a stock will trade over the upcoming year."
10,ADBE,2022-01-21T14:23:41Z,"Deutsche Bank Maintains Buy on Adobe, Lowers Price Target to $660",
11,ADBE,2022-01-20T14:21:43Z,"CNBC's Final Trades: Microsoft, US Dollar Index, iShares Healthcare ETF And This Cybersecurity Tech Major","On CNBC’s “Halftime Report Final Trades,” Stephen Weiss of Short Hills Capital Partners said US Dollar Index (DXY) was his top pick."
12,ADBE,2022-01-20T12:11:14Z,"4 Stocks Insiders Are Selling: Alphabet, Adobe And More","US stock futures traded higher this morning ahead of data on initial jobless claims. Although Wall Street recorded sharp losses on Wednesday, there were a few notable insider trades."
13,ADBE,2022-01-19T18:19:24Z,"If You Invested $100 In This Stock 20 Years Ago, Here's How Much You Would Have Today",Adobe (NASDAQ:ADBE) has outperformed the market over the past 20 years by 11.33% on an annualized basis. 
14,ADBE,2022-01-19T17:38:51Z,10 Information Technology Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
15,ADBE,2022-01-18T12:10:38Z,"This Robot-Run ETF Retains Tesla As It Largest Holding In January, It Has Bowed Out Of Netflix And Initiated Position In This Chipmaker","The Qraft AI-Enhanced US Large Cap Momentum ETF (NYSE: AMOM), an exchange-traded fund driven by artificial intelligence, has acquired new stakes in Nvidia Corp. (NASDAQ: NVDA), Home Depot Inc. (NYSE:"
16,ADBE,2022-01-11T15:20:40Z,(ADBE) - Analyzing Adobe Inc's Short Interest,"Adobe Inc&#39;s (NASDAQ:ADBE) short percent of float has risen 14.77% since last its last report. The company recently reported that it has 4.80 million shares sold short, which is 1.01% of all regular shares that are available for trading."
17,ADBE,2022-01-11T15:12:11Z,"Watching Cloudflare, Adobe, AMD; Jim Cramer Tweets 'others to watch: $NET, $ADBE, $AMD..'",
18,ADBE,2022-01-10T21:09:18Z,Adobe Acquires Abstract Notebooks; Terms Not Disclosed,
19,ADBE,2022-01-07T17:41:46Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
20,ADBE,2022-01-05T15:08:47Z,"Benzinga's Top Ratings Upgrades, Downgrades For January 5, 2022","Upgrades
"
21,ADBE,2022-01-05T15:06:16Z,Where Adobe Stands With Analysts,"Over the past 3 months, 12 analysts have published their opinion on Adobe (NASDAQ:ADBE) stock. These analysts are typically employed by large Wall Street banks and tasked with understanding a company&#39;s business to predict how a stock will trade over the upcoming year."
22,ADBE,2022-01-05T13:17:39Z,"UBS Downgrades Adobe To Neutral, Slashes Price Target By 9.4%","
"
