,ticker,timestamp,headline,summary
0,ADI,2022-02-09T17:48:15Z,10 Information Technology Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
1,ADI,2022-02-03T12:41:37Z,Alphabet And 4 Other Stocks Sold By Insiders,"Nasdaq futures traded sharply lower this morning after Meta Platforms, Inc. (NASDAQ: FB) reported worse-than-expected Q4 EPS results and issued weak forecast."
2,ADI,2022-01-31T13:07:48Z,12 Information Technology Stocks Moving In Monday's Pre-Market Session,Gainers WISeKey Intl Hldg (NASDAQ: WKEY) stock moved upwards by 11.4% to $3.62 during Monday&#39;s pre-market session. The market value of their outstanding shares is at $72.2 million. Bridgeline Digital (NASDAQ: BLIN)
3,ADI,2022-01-24T15:11:52Z,Shares of several companies in the broader technology sector are trading lower on a continued market sell-off.,
4,ADI,2022-01-18T20:23:01Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
5,ADI,2022-01-12T15:09:42Z,Expert Ratings For Analog Devices,Analog Devices (NASDAQ:ADI) has observed the following analyst ratings within the last quarter: 
6,ADI,2022-01-12T11:58:28Z,"Barclays Maintains Overweight on Analog Devices, Lowers Price Target to $180",
7,ADI,2021-12-15T17:56:30Z,What 9 Analyst Ratings Have To Say About Analog Devices,"Over the past 3 months, 9 analysts have published their opinion on Analog Devices (NASDAQ:ADI) stock. These analysts are typically employed by large Wall Street banks and tasked with understanding a company&#39;s business to predict how a stock will trade over the upcoming year."
8,ADI,2021-12-15T13:18:23Z,"Deutsche Bank Maintains Hold on Analog Devices, Raises Price Target to $200",
9,ADI,2021-12-03T21:01:21Z,Analog Devices to Participate In The UBS Global TMT Conference Dec. 8,
10,ADI,2021-11-24T16:13:10Z,Analyst Ratings For Analog Devices,"Within the last quarter, Analog Devices (NASDAQ:ADI) has observed the following analyst ratings: "
11,ADI,2021-11-24T14:02:57Z,"Morgan Stanley Maintains Equal-Weight on Analog Devices, Raises Price Target to $194",
12,ADI,2021-11-24T13:48:05Z,"B of A Securities Maintains Buy on Analog Devices, Raises Price Target to $220",
13,ADI,2021-11-24T12:37:10Z,10 Biggest Price Target Changes For Wednesday,"
	Needham raised  Analog Devices, Inc.  (NASDAQ: ADI) price target from $200 to $205. Analog Devices shares fell 0.6% to $181.37 in pre-market trading.
"
14,ADI,2021-11-24T12:25:44Z,"Raymond James Maintains Outperform on Analog Devices, Raises Price Target to $210",
15,ADI,2021-11-24T12:08:28Z,"Deutsche Bank Maintains Hold on Analog Devices, Raises Price Target to $190",
16,ADI,2021-11-24T11:17:25Z,"Needham Maintains Buy on Analog Devices, Raises Price Target to $205",
17,ADI,2021-11-23T18:36:13Z,"Wells Fargo Maintains Equal-Weight on Analog Devices, Raises Price Target to $185",
18,ADI,2021-11-23T13:42:39Z,"Analog Devices Beats Q4 Consensus Backed By Industrial, Auto Markets",Analog Devices Inc (NASDAQ: ADI) 
19,ADI,2021-11-23T12:14:14Z,"Analog Devices Sees Q1 Adj. EPS $1.68-$1.88 vs $1.70 Est., Sales $2.5B-$2.7B vs $2.49B Est.",
20,ADI,2021-11-23T12:12:01Z,"Analog Devices Q4 Adj. EPS $1.73 Beats $1.70 Estimate, Sales $2.34B Beat $2.31B Estimate",
21,ADI,2021-11-23T09:48:32Z,"Earnings Scheduled For November 23, 2021"," 

Companies Reporting Before The Bell

• QIWI (NASDAQ:QIWI) is projected to report quarterly earnings at $0.47 per share on revenue of $84.92 million."
22,ADI,2021-11-22T18:21:32Z,"GlobalFoundries Is At The Right Place, At The Right Time, BofA Says","GlobalFoundries Inc (NASDAQ: GFS) is well-positioned with only a 10% share of an addressable market opportunity estimated at $70 billion, across smartphone devices, IoT, automotive and data center, according to BofA Securities."
23,ADI,2021-11-22T15:25:31Z,Analog Devices's Earnings: A Preview,"Analog Devices (NASDAQ:ADI) is set to give its latest quarterly earnings report on Tuesday, 2021-11-23. Here&#39;s what investors need to know before the announcement.
Analysts estimate that Analog Devices will likely report an Earnings Per Share (EPS) of $1.70. "
24,ADI,2021-11-19T13:37:47Z,10 Biggest Price Target Changes For Friday,"
	Wedbush raised  Tesla, Inc.  (NASDAQ: TSLA) price target from $1,100 to $1,400. Tesla shares rose 0.4% to $1,100.50 in pre-market trading.
"
25,ADI,2021-11-19T12:41:04Z,"Oppenheimer Maintains Outperform on Analog Devices, Raises Price Target to $210",
26,ADI,2021-10-25T20:35:55Z,"indie Semi Reports Deal With Analog Devices To Buy Symeo, No Terms Disclosed",
27,ADI,2021-10-13T16:16:27Z,Expert Ratings For Analog Devices," Over the past 3 months, 8 analysts have published their opinion on Analog Devices (NASDAQ:ADI) stock. These analysts are typically employed by large Wall Street banks and tasked with understanding a company&#39;s business to predict how a stock will trade over the upcoming year."
28,ADI,2021-10-13T15:06:13Z,"Benzinga's Top Ratings Upgrades, Downgrades For October 13, 2021"," Upgrades
"
29,ADI,2021-10-13T12:00:00Z,"UBS Initiates Coverage On Analog Devices with Buy Rating, Announces Price Target of $210",
30,ADI,2021-10-09T15:20:17Z,"The Past Week's Notable Insider Buys Included Asana, Designer Brands, Evergy And More","
	Insider buying can be an encouraging signal for potential investors, especially when markets are uncertain.
	
	The week&#39;s most notable insider purchases were made by returning buyers.
	
	A chief executive officer and an executive board chair were among the notable insiders adding to their stakes.


"
31,ADI,2021-10-08T14:02:08Z,3 Stocks Insiders Are Buying,"When insiders purchase shares, it indicates their confidence in the company&#39;s prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock. Insider purchases should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a buying decision."
32,ADI,2021-09-29T10:07:57Z,Analog Devices Raises $4B Via Debt Offering,"
"
33,ADI,2021-09-24T17:59:53Z,10 Information Technology Stocks Showing Unusual Options Activity In Today's Session,This unusual options alert can help traders discover the next big trading opportunities. Traders will search for circumstances when the market estimation of an option diverges heavily from its normal worth. Unusual trading activity could push option prices to exaggerated or underestimated levels.
34,ADI,2021-09-13T16:59:42Z,Expert Ratings For Analog Devices," Within the last quarter, Analog Devices (NASDAQ:ADI) has observed the following analyst ratings: "
35,ADI,2021-09-13T11:51:13Z,"Morgan Stanley Reinstates Equal-Weight on Analog Devices, Announces $179 Price Target",
