,ticker,timestamp,headline,summary
0,AMAT,2022-02-02T12:21:37Z,"Why Cramer Likes Applied Materials, Camping World And Iron Mountain","On CNBC’s &#34;Mad Money Lightning Round,&#34; Jim Cramer said  Golar LNG Limited  (NASDAQ: GLNG) is the play. &#34;You own this for a trade, not for an investment,&#34; he added."
1,AMAT,2022-01-31T17:59:27Z,"Here's Why Piper Sandler Considers DRAM Pricing ""Slightly Negative"" For Micron And Others","
"
2,AMAT,2022-01-31T17:36:09Z,10 Information Technology Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
3,AMAT,2022-01-28T17:38:24Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
4,AMAT,2022-01-28T15:36:50Z,Applied Materials Whale Trades Spotted,"Someone with a lot of money to spend has taken a bullish stance on Applied Materials (NASDAQ:AMAT).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
5,AMAT,2022-01-26T22:30:13Z,12 Information Technology Stocks Moving In Wednesday's After-Market Session,"Gainers

Blackboxstocks (NASDAQ:BLBX) stock rose 13.7% to $2.33 during Wednesday&#39;s after-market session. The company&#39;s market cap stands at $30.1 million. 
"
6,AMAT,2022-01-26T15:03:59Z,"Benzinga's Top Ratings Upgrades, Downgrades For January 26, 2022","Upgrades
"
7,AMAT,2022-01-26T09:37:49Z,Keybanc Initiates Coverage On Applied Materials with Sector Weight Rating,
8,AMAT,2022-01-24T17:03:42Z,Here's How Much $100 Invested In Applied Materials 10 Years Ago Would Be Worth Today,Applied Materials (NASDAQ:AMAT) has outperformed the market over the past 10 years by 14.41% on an annualized basis. 
9,AMAT,2022-01-24T16:05:15Z,Check Out What Whales Are Doing With AMAT,"Someone with a lot of money to spend has taken a bearish stance on Applied Materials (NASDAQ:AMAT).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
10,AMAT,2022-01-19T20:09:18Z,"Why Applied Materials, Lam Research, Nvidia And Qualcomm Shares Are Falling Today","Shares of companies in the semiconductor sector, including Applied Materials, Inc. (NASDAQ: AMAT), Lam Research Corporation (NASDAQ: LRCX), NVIDIA Corporation (NASDAQ: "
11,AMAT,2022-01-18T20:23:01Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
12,AMAT,2022-01-18T16:30:43Z,Watching Applied Materials Shares; Hearing Investors Business Daily Sells Balance Of Stock,
13,AMAT,2022-01-18T16:06:35Z,Applied Materials Whale Trades Spotted,"A whale with a lot of money to spend has taken a noticeably bearish stance on Applied Materials.
Looking at options history for Applied Materials (NASDAQ:AMAT) we detected 10 strange trades."
14,AMAT,2022-01-14T19:19:01Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
15,AMAT,2022-01-14T17:02:53Z,Looking At Applied Materials's Recent Whale Trades,"A whale with a lot of money to spend has taken a noticeably bullish stance on Applied Materials.
Looking at options history for Applied Materials (NASDAQ:AMAT) we detected 13 strange trades."
16,AMAT,2022-01-13T14:33:21Z,Applied Materials Shares Fail To React As Traders Circulate Word Investors Business Daily Portfolio Sold A Third Of Position In Stock,
17,AMAT,2022-01-12T20:00:04Z,Why Applied Materials Shares Are Rising,"Applied Materials, Inc. (NASDAQ: AMAT) shares are trading higher after Barclays raised its price target on the stock from $150 to $165. Investor&#39;s Business Daily reportedly named the stock a Buy."
18,AMAT,2022-01-12T15:36:08Z,Check Out What Whales Are Doing With AMAT,"Someone with a lot of money to spend has taken a bearish stance on Applied Materials (NASDAQ:AMAT).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
19,AMAT,2022-01-12T15:12:06Z,"Applied Materials Shares Mark New Session High, Up 3.6%; Hearing Investors Business Daily Calls Stock A Buy",
20,AMAT,2022-01-12T15:10:53Z,Expert Ratings For Applied Materials,"Over the past 3 months, 8 analysts have published their opinion on Applied Materials (NASDAQ:AMAT) stock. These analysts are typically employed by large Wall Street banks and tasked with understanding a company&#39;s business to predict how a stock will trade over the upcoming year."
21,AMAT,2022-01-12T12:01:56Z,"Barclays Maintains Equal-Weight on Applied Materials, Raises Price Target to $165",
22,AMAT,2022-01-11T21:15:31Z,How Is The Market Feeling About Applied Materials Inc?,"Applied Materials Inc&#39;s (NASDAQ:AMAT) short percent of float has fallen 12.69% since last its last report. The company recently reported that it has 10.35 million shares sold short, which is 1.17% of all regular shares that are available for trading."
23,AMAT,2022-01-10T20:28:24Z,6 Top-Performing Chip Stocks Of 2021 — And Why To Watch Them In 2022,"What could have been a devastating year for semiconductor manufacturers in the wake of a global pandemic and an escalating trade war with China wound up being just the opposite.

What happened?"
24,AMAT,2022-01-10T19:01:31Z,Watching Applied Materials; Traders Circulate Co Blog Titled 'Expanding the Ecosystem for Hybrid Bonding Technology',
25,AMAT,2022-01-10T17:36:30Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
26,AMAT,2022-01-07T17:33:54Z,"Why Lam Research, ON Semiconductor, Applied Materials And NXP Semiconductors Shares Are Falling","Shares of several companies in the broader technology sector, including Lam Research Corporation (NASDAQ: LRCX), ON Semiconductor Corp (NASDAQ: ON), Applied Materials, Inc. (NASDAQ: "
27,AMAT,2022-01-06T20:32:57Z,What Are Whales Doing With Applied Materials,"A whale with a lot of money to spend has taken a noticeably bearish stance on Applied Materials.
Looking at options history for Applied Materials (NASDAQ:AMAT) we detected 12 strange trades."
28,AMAT,2022-01-05T17:36:42Z,10 Information Technology Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
29,AMAT,2022-01-04T16:07:48Z,Watching Applied Materials; Hearing Investors Business Daily Sells Stock,
30,AMAT,2021-12-29T18:16:50Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.

Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
31,AMAT,2021-12-27T18:51:22Z,Watching Shares Of Applied Materials; Hearing Investor Business Daily Sells Stock,
32,AMAT,2021-12-27T17:08:48Z,Why Applied Materials Shares Are Rising,"Shares of several companies in the broader technology sector, including Applied Materials, Inc. (NASDAQ: AMAT), are trading higher on a continued rebound after the recent omicron-driven selloff."
33,AMAT,2021-12-23T19:12:42Z,"Applied Materials Shares Mark Afternoon High, See Spike In Volume; Hearing Investors Business Daily Swing Trader Is Long Stock",
34,AMAT,2021-12-23T19:04:45Z,Hearing Applied Materials Named New Investor's Business Daily Buy,
35,AMAT,2021-12-23T16:57:31Z,(AMAT) - Analyzing Applied Materials Inc's Short Interest,"Applied Materials Inc&#39;s (NASDAQ:AMAT) short percent of float has risen 5.43% since last its last report. The company recently reported that it has 12.23 million shares sold short, which is 1.36% of all regular shares that are available for trading."
36,AMAT,2021-12-23T16:04:14Z,What Are Whales Doing With Applied Materials,"Someone with a lot of money to spend has taken a bearish stance on Applied Materials (NASDAQ:AMAT).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
