,ticker,timestamp,headline,summary
0,ASAN,2022-02-10T19:51:03Z,12 Information Technology Stocks Moving In Thursday's Intraday Session, 
1,ASAN,2022-02-10T17:32:06Z,Check Out What Whales Are Doing With ASAN,"Someone with a lot of money to spend has taken a bullish stance on Asana (NYSE:ASAN).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
2,ASAN,2022-02-09T09:04:51Z,51 Biggest Movers From Yesterday,"Gainers

 "
3,ASAN,2022-02-07T12:22:58Z,Executives Buy Around $62M Of 3 Stocks,"
The Nasdaq index jumped more than 200 points on Friday after  Amazon.com, Inc. (NASDAQ: AMZN) reported better-than-expected earnings for its fourth quarter."
4,ASAN,2022-01-31T13:09:50Z,"Why Jim Cramer Likes Greenbrier Companies, Hillenbrand","On CNBC’s &#34;Mad Money Lightning Round,&#34; Jim Cramer said he has always liked  The Greenbrier Companies, Inc. (NYSE: GBX) He recommended buying the stock as it is down."
5,ASAN,2022-01-31T12:56:05Z,Executives Buy Around $88M Of 4 Stocks,"The Eurozone economy grew 0.3% on quarter during the final three months of 2021, recording the slowest growth in three quarters amid the spread of the omicron variant. Investors, meanwhile, focused on some notable insider trades"
6,ASAN,2022-01-24T18:16:12Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
7,ASAN,2022-01-19T15:13:57Z,"Shares of software companies were trading higher following a drop in the 10-year Treasury yield, which has helped lift growth stock valuations. The strength is also in sympathy with the broader market as stocks rebound following strong earnings reports from several companies, which has lifted sentiment.",
8,ASAN,2022-01-14T09:36:21Z,"Keybanc Maintains Overweight on Asana, Lowers Price Target to $97",
9,ASAN,2022-01-09T17:16:49Z,Insider Weekends: Co-Founder Of EverQuote Acquires $1.45 Million Worth Of Stock,"Reviewing the list of companies that were at a new 52 week high and the ones that had hit a fresh 52 week low last week, I was struck by just how many of the companies in the 52 week high list were financial/banking companies and from the energy sector. Similarly, a large number of companies in the 52 week low list were either biotech companies or from the technology sector."
10,ASAN,2022-01-07T10:44:37Z,3 Stocks Insiders Are Buying,"When insiders purchase shares, it indicates their confidence in the company&#39;s prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock. Insider purchases should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a buying decision."
11,ASAN,2022-01-07T10:34:27Z,"Asana CEO Dustin Moskovitz Reported Purchase of 750,000 Shares @ Avg Price of $63.83/Share in Form 4 Filing on Thursday",
12,ASAN,2022-01-05T15:08:47Z,"Benzinga's Top Ratings Upgrades, Downgrades For January 5, 2022","Upgrades
"
13,ASAN,2022-01-05T10:06:45Z,"DA Davidson Initiates Coverage On Asana with Neutral Rating, Announces Price Target of $65",
14,ASAN,2022-01-04T12:04:54Z,3 Stocks Insiders Are Buying,"When insiders purchase shares, it indicates their confidence in the company&#39;s prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock. Insider purchases should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a buying decision."
15,ASAN,2021-12-28T15:52:09Z,Looking Into Asana Inc. Class A Common Stock's Recent Short Interest,"Asana Inc. Class A Common Stock&#39;s (NYSE:ASAN) short percent of float has risen 16.81% since last its last report. The company recently reported that it has 6.44 million shares sold short, which is 9.45% of all regular shares that are available for trading."
16,ASAN,2021-12-23T13:01:28Z,4 Stocks Insiders Are Buying,"When insiders purchase shares, it indicates their confidence in the company&#39;s prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock. Insider purchases should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a buying decision."
17,ASAN,2021-12-23T10:39:37Z,"Asana CEO Dustin Moskovitz Reported Purchase of 1,250,000 Shares @ Avg Price of $77.74/Share in Form 4 Filing on Wednesday",
18,ASAN,2021-12-20T17:07:03Z,38 Stocks Moving In Monday's Mid-Day Session,"Gainers


	Society Pass Incorporated (NASDAQ: SOPA) shares jumped 120.9% to $7.31 after the company reported addition to the Russell 2000 Index.
"
19,ASAN,2021-12-17T19:46:42Z,Why Asana Shares Are Rising,"Shares of technology stocks, Asana Inc (NASDAQ: ASAN) are trading higher as some names in the sector rebound after dropping in recent sessions. Investors continue to assess the impact of Fed tapering policy and future rate hikes on growth names."
20,ASAN,2021-12-17T17:41:37Z,12 Information Technology Stocks Moving In Friday's Intraday Session, 
21,ASAN,2021-12-16T23:24:23Z,Is It Time To Sell Stock In These 10 Top Performers Of 2021?,"This year has been a great year for stocks overall, with the SPDR S&amp;P 500 ETF Trust (NYSE: SPY) on track to finish the year up more than 24%."
22,ASAN,2021-12-16T16:23:55Z,Watching Asana; Hearing Newsletter Provider Oxford Names Stock As Strong Buy,
23,ASAN,2021-12-16T12:51:27Z,3 Stocks Insiders Are Buying,"When insiders purchase shares, it indicates their confidence in the company&#39;s prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock. Insider purchases should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a buying decision."
24,ASAN,2021-12-16T10:45:26Z,"Asana CEO Dustin Moskovitz Reported Purchase of 1,250,000 Shares @ Avg Price of $65.02/Share in Form 4 Filing on Wednesday",
25,ASAN,2021-12-13T19:18:19Z,Asana Whale Trades Spotted,"A whale with a lot of money to spend has taken a noticeably bearish stance on Asana.

Looking at options history for Asana (NYSE:ASAN) we detected 10 strange trades."
26,ASAN,2021-12-13T13:34:54Z,"Morgan Stanley Maintains Equal-Weight on Asana, Lowers Price Target to $80",
27,ASAN,2021-12-09T13:11:08Z,3 Stocks Insiders Are Buying,"When insiders purchase shares, it indicates their confidence in the company&#39;s prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock. Insider purchases should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a buying decision."
28,ASAN,2021-12-09T10:35:53Z,"Asana CEO Dustin Moskovitz Reported Purchase of 1,250,000 Shares @ Avg Price of $71.35/Share in Form 4 Filing on Wednesday",
29,ASAN,2021-12-08T18:04:00Z,Check Out What Whales Are Doing With ASAN,"Someone with a lot of money to spend has taken a bullish stance on Asana (NYSE:ASAN).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
30,ASAN,2021-12-07T17:08:06Z,"Cramer Gives His Opinion On GlaxoSmithKline, Asana And More","On CNBC’s &#34;Mad Money Lightning Round,&#34; Jim Cramer said  Penn National Gaming, Inc.  (NASDAQ: PENN) has been crushed, but selling the stock right now is a mistake."
31,ASAN,2021-12-06T12:24:15Z,4 Stocks Insiders Are Buying,"When insiders purchase shares, it indicates their confidence in the company&#39;s prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock. Insider purchases should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a buying decision."
32,ASAN,2021-12-06T09:33:07Z,58 Biggest Movers From Friday,"Gainers


	Hagerty, Inc. (NYSE: HGTY) shares jumped 46.5% to close at $15.62.
	TuanChe Limited (NASDAQ: TC) gained 44.7% to settle at $3.30.
"
33,ASAN,2021-12-03T23:23:38Z,3 SaaS Stocks Plummet 25% As The Work-From-Home Trade Fades,"The COVID-19 pandemic led to the rise of many things — the retail investor, to-go margaritas and virtual rap battles to name a few. But potentially the biggest beneficiary of the pandemic has been companies in the work-from-home industry and software-as-a-service (SaaS) companies."
34,ASAN,2021-12-03T21:31:26Z,12 Information Technology Stocks Moving In Friday's After-Market Session,"Gainers

Endava (NYSE:DAVA) shares rose 5.1% to $147.18 during Friday&#39;s after-market session. This security traded at a volume of 64.0K shares come close, making up 26.22% of its average volume over the last 100 days. The company&#39;s market cap stands at $8.2 billion. 
"
35,ASAN,2021-12-03T19:32:15Z,Mid-Afternoon Market Update: DocuSign Drops Following Weak Revenue Forecast; Longeveron Shares Climb,"Toward the end of trading Friday, the Dow traded down 0.37% to 34,512.05 while the NASDAQ fell 2.28% to 15,029.99. The S&amp;P also fell, dropping 1.13% to 4,525.40."
36,ASAN,2021-12-03T18:03:20Z,12 Information Technology Stocks Moving In Friday's Intraday Session, 
37,ASAN,2021-12-03T17:11:30Z,Why Nvidia Shares Are Falling,"Shares of several companies in the broader tech sector, including NVIDIA Corporation (NASDAQ: NVDA) are trading lower in sympathy with Asana (NYSE: ASAN) and DocuSign (N"
38,ASAN,2021-12-03T17:05:44Z,Why AMD Shares Are Falling,"Shares of several companies in the broader tech sector, including Advanced Micro Devices, Inc. (NASDAQ: AMD) are trading lower in sympathy with Asana (NYSE: ASAN) and DocuSign "
39,ASAN,2021-12-03T17:03:02Z,Mid-Day Market Update: Nasdaq Dips Over 400 Points; Marvell Technology Shares Rise Following Upbeat Earnings,"Midway through trading Friday, the Dow traded down 0.77% to 34,373.98 while the NASDAQ fell 2.8% to 14,950.19. The S&amp;P also fell, dropping 1.52% to 4,507.37."
40,ASAN,2021-12-03T17:01:13Z,41 Stocks Moving In Friday's Mid-Day Session,"Gainers


	IO Biotech, Inc. (NASDAQ: IOBT) jumped 42% to $11.74. The company, last month, priced its IPO at $14 per share.
"
41,ASAN,2021-12-03T16:53:57Z,Asana Whale Trades For December 03,"A whale with a lot of money to spend has taken a noticeably bullish stance on Asana.
Looking at options history for Asana (NYSE:ASAN) we detected 34 strange trades."
42,ASAN,2021-12-03T16:38:29Z,"Asana Shares Plunge Post Q3 Beat Due To Slower Growth, Mixed Guidance","
"
43,ASAN,2021-12-03T16:15:08Z,Why Affirm Shares Are Falling,"Shares of several companies in the broader tech sector, including Affirm Holdings Inc (NASDAQ: AFRM) are trading lower in sympathy with Asana (NYSE: ASAN) and DocuSign (NASDAQ: "
44,ASAN,2021-12-03T16:13:31Z,Why Palantir Technologies Shares Are Falling,"Shares of several software companies, including Palantir Technologies Inc (NYSE: PLTR) are trading lower in sympathy with Asana (NYSE: ASAN) and DocuSign (NASDAQ: "
45,ASAN,2021-12-03T16:12:05Z,Where Asana Stands With Analysts,"Over the past 3 months, 6 analysts have published their opinion on Asana (NYSE:ASAN) stock. These analysts are typically employed by large Wall Street banks and tasked with understanding a company&#39;s business to predict how a stock will trade over the upcoming year."
46,ASAN,2021-12-03T13:19:22Z,12 Information Technology Stocks Moving In Friday's Pre-Market Session, 
47,ASAN,2021-12-03T12:11:17Z,"JMP Securities Maintains Market Outperform on Asana, Raises Price Target to $95",
48,ASAN,2021-12-03T11:56:34Z,20 Stocks Moving in Friday's Pre-Market Session,"Gainers


	BIOLASE, Inc. (NASDAQ: BIOL) rose 27.2% to $0.52 in pre-market trading. Biolase reporte in Form4 filing that President bought 70,000 shares at an average price of $0.45 per share.
"
49,ASAN,2021-12-03T09:30:11Z,"Keybanc Maintains Overweight on Asana, Lowers Price Target to $103",
50,ASAN,2021-12-02T23:01:05Z,12 Information Technology Stocks Moving In Thursday's After-Market Session,"Gainers

"
51,ASAN,2021-12-02T21:31:29Z,Asana: Q3 Earnings Insights,"Asana (NYSE:ASAN) reported its Q3 earnings results on Thursday, December 2, 2021 at 04:00 PM.

Here&#39;s what investors need to know about the announcement."
52,ASAN,2021-12-02T21:10:28Z,Asana Sees FY22 Sees Revenue $371M-$372M Vs $358.75M Est; Sees Adj. EPS $(0.96)-$(0.95) Vs $(1.00) Est,
53,ASAN,2021-12-02T21:08:29Z,Asana Sees Q4 2021 Revenue $104.5M-$105.5M Vs $98.74M Est; Sees Adj. EPS $(0.28)-$(0.27) Vs $(0.27) Est.,
54,ASAN,2021-12-02T21:06:12Z,"Asana Q3 EPS $(0.23) Beats $(0.26) Estimate, Sales $100.30M Beat $93.86M Estimate",
55,ASAN,2021-12-02T09:31:16Z,"Earnings Scheduled For December 2, 2021"," 

Companies Reporting Before The Bell

• EHang Holdings (NASDAQ:EH) is expected to report earnings for its third quarter."
56,ASAN,2021-12-01T15:10:33Z,Earnings Outlook For Asana,"Asana (NYSE:ASAN) is set to give its latest quarterly earnings report on Thursday, 2021-12-02. Here&#39;s what investors need to know before the announcement.
Analysts estimate that Asana will likely report an Earnings Per Share (EPS) of $-0.26. "
