,ticker,timestamp,headline,summary
0,ASML,2022-02-09T12:36:54Z,ASML Warns Against China Affiliate,"
"
1,ASML,2022-02-08T17:19:43Z,What Are Whales Doing With ASML Holding,"Someone with a lot of money to spend has taken a bearish stance on ASML Holding (NASDAQ:ASML).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
2,ASML,2022-02-07T18:58:33Z,7 Of The Best Nasdaq Stocks to Buy On The Dip,"The S&amp;P 500 is off to a shaky start to 2022, down 5.5% year-to-date. As bad as things have been for the S&amp;P 500, they have been even worse for the tech-heavy Nasdaq Composite, which is down 9.9% so far in this year."
3,ASML,2022-02-04T15:24:28Z,This Foreboding Sign Looms Over ASML Holding's Chart,"If history is any guide, there may be trouble ahead for shares of ASML Holding (NASDAQ:ASML).  A so-called &#34;death cross&#34; has formed on its chart and, not surprisingly, this could be bearish for the stock."
4,ASML,2022-01-31T17:59:27Z,"Here's Why Piper Sandler Considers DRAM Pricing ""Slightly Negative"" For Micron And Others","
"
5,ASML,2022-01-26T16:57:54Z,"Shares of companies in the semiconductors and chip space were trading higher, rebounding from recent weakness amid a rise in yields and concerns over fed tapering, which has caused volatility in the sector. Stronger-than-expected Q4 results from Texas Instruments have also helped lift the sector.",
6,ASML,2022-01-25T13:08:24Z,11 Information Technology Stocks Moving In Tuesday's Pre-Market Session, 
7,ASML,2022-01-24T12:53:33Z,"TSMC Looks To Hire Over 8,000 People In 2022","Taiwan’s top two chipmakers plan to hire over 10,000 engineers in 2022 to bolster their aggressive expansion plans and maintain their technological edge, "
8,ASML,2022-01-21T20:01:52Z,(ASML) - Analyzing Asml Holding N.V. - New York Registry Shares's Short Interest,"Asml Holding N.V. - New York Registry Shares&#39;s (NASDAQ:ASML) short percent of float has risen 8.0% since last its last report. The company recently reported that it has 1.12 million shares sold short, which is 0.27% of all regular shares that are available for trading."
9,ASML,2022-01-19T12:41:39Z,ASML Holding shares were trading higher after the company reported better-than-expected Q4 EPS results.,
10,ASML,2022-01-19T17:02:47Z,"Earnings Scheduled For January 19, 2022"," 

Companies Reporting Before The Bell

• Community Trust Bancorp (NASDAQ:CTBI) is likely to report quarterly earnings at $1.06 per share on revenue of $55.05 million."
11,ASML,2022-01-19T12:41:07Z,"ASML Holding Earlier Reported Q4 EPS $5.01 Beats $4.28 Estimate, Sales $5.70B Miss $5.84B Estimate",
12,ASML,2022-01-19T12:01:22Z,ASML Holding: Q4 Earnings Insights," 

ASML Holding (NASDAQ:ASML) reported its Q4 earnings results on Wednesday, January 19, 2022 at 01:00 AM.

Here&#39;s what investors need to know about the announcement."
13,ASML,2022-01-19T11:01:22Z,ASML Clocks 17% Sales Growth In Q4; Strengthens Bond With Intel,"
"
14,ASML,2022-01-18T15:04:59Z,ASML Holding's Earnings: A Preview,"ASML Holding (NASDAQ:ASML) is set to give its latest quarterly earnings report on Wednesday, 2022-01-19. Here&#39;s what investors need to know before the announcement.
Analysts estimate that ASML Holding will likely report an Earnings Per Share (EPS) of $4.29. "
15,ASML,2022-01-11T13:07:45Z,12 Information Technology Stocks Moving In Tuesday's Pre-Market Session, 
16,ASML,2022-01-10T21:31:59Z,12 Information Technology Stocks Moving In Monday's After-Market Session,"Gainers

"
17,ASML,2022-01-10T20:28:24Z,6 Top-Performing Chip Stocks Of 2021 — And Why To Watch Them In 2022,"What could have been a devastating year for semiconductor manufacturers in the wake of a global pandemic and an escalating trade war with China wound up being just the opposite.

What happened?"
18,ASML,2022-01-10T13:31:39Z,9 Information Technology Stocks Moving In Monday's Pre-Market Session, 
19,ASML,2022-01-03T21:37:14Z,What Are Whales Doing With ASML Holding,"Someone with a lot of money to spend has taken a bullish stance on ASML Holding (NASDAQ:ASML).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
20,ASML,2021-12-31T18:14:46Z,Looking Into Asml Holding's Recent Short Interest,"Asml Holding N.V. - New York Registry Shares&#39;s (NASDAQ:ASML) short percent of float has risen 31.58% since last its last report. The company recently reported that it has 1.01 million shares sold short, which is 0.25% of all regular shares that are available for trading."
21,ASML,2021-12-28T15:42:26Z,China Presses Alibaba To Design Chips,"China&#39;s ruling Communist Party is pushing Alibaba Group Holding Ltd (NYSE: BABA) to take on the tricky, expensive business of designing its processor chips to help make China a self-reliant &#34;technology superpower,&#34; "
22,ASML,2021-12-27T18:28:26Z,China Comes Out In Support of Continued U.S. Listings – With Stronger Oversight,"Key Takeaways:


	China’s securities regulator has announced its intent to continue allowing Chinese companies to list overseas, though with stricter oversight
	Regulator will most likely limit such listings to large companies with global aspirations, possibly encouraging them to first list at home


By Doug Young"
23,ASML,2021-12-20T16:16:27Z,Looking At ASML Holding's Recent Whale Trades,"A whale with a lot of money to spend has taken a noticeably bearish stance on ASML Holding.
Looking at options history for ASML Holding (NASDAQ:ASML) we detected 11 strange trades."
24,ASML,2021-12-16T16:47:27Z,Check Out What Whales Are Doing With ASML,"Someone with a lot of money to spend has taken a bullish stance on ASML Holding (NASDAQ:ASML).

And retail traders should know.

We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
25,ASML,2021-12-13T19:23:47Z,ASML Holding Whale Trades For December 13,"A whale with a lot of money to spend has taken a noticeably bearish stance on ASML Holding.
Looking at options history for ASML Holding (NASDAQ:ASML) we detected 11 strange trades."
26,ASML,2021-12-10T21:25:57Z,What Are Whales Doing With ASML Holding,"Someone with a lot of money to spend has taken a bearish stance on ASML Holding (NASDAQ:ASML).

And retail traders should know.

We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
27,ASML,2021-12-10T13:03:26Z,ASML Aims To Make Next-Gen Chips Below 3-Nm: All You Need To Know,"ASML Holding NV (NASDAQ: ASML) is exclusively working on a new version of its extreme ultraviolet lithography machine, "
28,ASML,2021-12-02T16:25:59Z,Shares of Apple suppliers were trading lower following a Bloomberg report suggesting Apple has told suppliers iPhone 13 demand has slowed.,
29,ASML,2021-10-27T14:00:36Z,"Yes, Crypto Could Be The 5th Best Performing Asset By 2024","Investors weigh on every type of asset before putting their money on anything. It could be Apple Inc (NASDAQ: AAPL), Gold, Tesla Inc (NASDAQ: TSLA), or Silver."
30,ASML,2021-10-21T11:48:48Z,"UPDATE: ASML On Wednesday Gave Q4 Guidance: Net Sales €4.9B-€5.2B, Gross Margin 51-52%",
31,ASML,2021-10-20T14:39:27Z,"ASML Holding Earlier Reported Q3 EPS $5.02 Beats $4.79 Estimate, Sales $6.18B Miss $6.30B Estimate",
32,ASML,2021-10-20T07:44:46Z,"Earnings Scheduled For October 20, 2021"," 

Companies Reporting Before The Bell

• Canadian Pacific Railway (NYSE:CP) is expected to report quarterly earnings at $0.95 per share on revenue of $2.02 billion."
33,ASML,2021-10-18T14:25:24Z,Jim Cramer Suggests How To Play Earnings The Week Of October 18,"On CNBC’s “Mad Money,&#34; Jim Cramer said the government’s lifting of the ban on foreign travel and approval of booster shots are great for confidence because COVID-19 is the biggest drag on the economy."
34,ASML,2021-10-15T14:15:13Z,"Benzinga's Top Ratings Upgrades, Downgrades For October 15, 2021", 
35,ASML,2021-10-15T10:39:07Z,Piper Sandler Initiates Coverage On ASML Holding with Overweight Rating,
36,ASML,2021-10-12T13:35:59Z,Tech Experts See Significant Upside In ASML - Read Why,"
"
37,ASML,2021-10-08T19:57:05Z,The Thing Behind The Thing: ASML Powering The World's Semiconductor Companies,"Benzinga routinely examines a stock that might be considered a little under the radar. The company may not be well-known, but chances are the line of work it’s in is pretty familiar.

This is called the “thing behind the thing.”"
38,ASML,2021-09-29T15:54:46Z,CORRECTION: ASML Shares Lower,
39,ASML,2021-09-29T10:33:24Z,Whats Happening With ASML Shares Today?,"
"
40,ASML,2021-09-29T07:37:55Z,48 Biggest Movers From Yesterday,"Gainers


	Gogo Inc. (NASDAQ: GOGO) shares climbed 37.6% to close at $16.82 on Tuesday after the company raised the long-term financial targets announced during Q4 2020 earnings.
"
