,ticker,timestamp,headline,summary
0,AVGO,2022-02-10T20:03:02Z,Looking At Broadcom's Recent Whale Trades,"A whale with a lot of money to spend has taken a noticeably bearish stance on Broadcom.
Looking at options history for Broadcom (NASDAQ:AVGO) we detected 37 strange trades."
1,AVGO,2022-02-04T16:46:36Z,Apple-Broadcom Win $1.1B CalTech Patent Trial,"
"
2,AVGO,2022-02-04T14:27:50Z,"U.S. Appeals Court Throws Out $1.1B Damages Verdict Against Apple, Broadcom In Caltech Patent Case",
3,AVGO,2022-02-01T17:14:24Z,"On CNBC: Stephanie Link Says Buying Caterpillar, Broadcom, NXP Semiconductors Stock",
4,AVGO,2022-01-31T17:36:09Z,10 Information Technology Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
5,AVGO,2022-01-31T10:46:27Z,Vodafone Collaborates With Intel: All You Need To Know,"Vodafone Group PLC (NASDAQ: VOD) collaborated with Intel Corp (NASDAQ: INTC) and other silicon vendors to design its chip architecture for nascent OpenRAN network technology, "
6,AVGO,2022-01-28T15:16:31Z,Peering Into Broadcom Inc's Recent Short Interest,"Broadcom Inc&#39;s (NASDAQ:AVGO) short percent of float has fallen 3.55% since last its last report. The company recently reported that it has 5.50 million shares sold short, which is 1.36% of all regular shares that are available for trading."
7,AVGO,2022-01-26T18:52:01Z,Why Stephanie Link Says These Two Growth Stocks Are A Better Bet Than Microsoft,All eyes are on Microsoft Corp (NASDAQ: MSFT) Wednesday after the stock staged an impressive reversal following the company&#39;s fourth-quarter financial results last night.
8,AVGO,2022-01-26T10:50:58Z,Piper Sandler Sees Sharp Upside In This Chipmaker,"
"
9,AVGO,2022-01-24T15:11:52Z,Shares of several companies in the broader technology sector are trading lower on a continued market sell-off.,
10,AVGO,2022-01-24T18:17:41Z,Looking At Broadcom's Recent Whale Trades,"Someone with a lot of money to spend has taken a bullish stance on Broadcom (NASDAQ:AVGO).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
11,AVGO,2022-01-19T16:02:39Z,"If You Invested $100 In This Stock 10 Years Ago, Here's How Much You Would Have Today",Broadcom (NASDAQ:AVGO) has outperformed the market over the past 10 years by 19.51% on an annualized basis. 
12,AVGO,2022-01-18T20:23:01Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
13,AVGO,2022-01-14T19:45:45Z,Broadcom Whale Trades For January 14,"Someone with a lot of money to spend has taken a bearish stance on Broadcom (NASDAQ:AVGO).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
14,AVGO,2022-01-13T19:45:05Z,"Ahead Of Tech Earnings, Analyst Names Nvidia And These 4 Semiconductor Stocks As 2022 Top Picks","Following a strong showing in 2021, semiconductor companies remain on track for upside yet again in 2022 amid solid demand and lean channel inventories, according to an Oppenheimer analyst. "
15,AVGO,2022-01-12T22:30:55Z,What 17 Analyst Ratings Have To Say About Broadcom,"Over the past 3 months, 17 analysts have published their opinion on Broadcom (NASDAQ:AVGO) stock. These analysts are typically employed by large Wall Street banks and tasked with understanding a company&#39;s business to predict how a stock will trade over the upcoming year."
16,AVGO,2022-01-12T22:29:45Z,This Is What Whales Are Betting On Broadcom,"Someone with a lot of money to spend has taken a bullish stance on Broadcom (NASDAQ:AVGO).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
17,AVGO,2022-01-12T15:10:23Z,Peering Into Broadcom Inc's Recent Short Interest,"Broadcom Inc&#39;s (NASDAQ:AVGO) short percent of float has risen 22.61% since last its last report. The company recently reported that it has 5.67 million shares sold short, which is 1.41% of all regular shares that are available for trading."
18,AVGO,2022-01-12T12:05:08Z,"Barclays Maintains Overweight on Broadcom, Raises Price Target to $700",
19,AVGO,2022-01-07T17:32:42Z,Looking At Broadcom's Recent Whale Trades,"A whale with a lot of money to spend has taken a noticeably bearish stance on Broadcom.
Looking at options history for Broadcom (NASDAQ:AVGO) we detected 12 strange trades."
20,AVGO,2022-01-05T17:36:42Z,10 Information Technology Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
21,AVGO,2022-01-04T10:23:07Z,Piper Sandler Bumps Up Broadcom Price Target By 10.3%,Piper Sandler analyst Harsh Kumar 
22,AVGO,2022-01-03T20:21:44Z,What Are Whales Doing With Broadcom,"A whale with a lot of money to spend has taken a noticeably bearish stance on Broadcom.
Looking at options history for Broadcom (NASDAQ:AVGO) we detected 16 strange trades."
23,AVGO,2021-12-27T20:38:42Z,Looking At Broadcom's Recent Whale Trades,"A whale with a lot of money to spend has taken a noticeably bearish stance on Broadcom.
Looking at options history for Broadcom (NASDAQ:AVGO) we detected 50 strange trades."
24,AVGO,2021-12-27T15:51:22Z,Looking Into Broadcom Inc's Recent Short Interest,"Broadcom Inc&#39;s (NASDAQ:AVGO) short percent of float has fallen 9.45% since last its last report. The company recently reported that it has 4.61 million shares sold short, which is 1.15% of all regular shares that are available for trading."
25,AVGO,2021-12-22T16:29:30Z,What Are Whales Doing With Broadcom,"Someone with a lot of money to spend has taken a bearish stance on Broadcom (NASDAQ:AVGO).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
