,ticker,timestamp,headline,summary
0,BKNG,2022-01-27T14:53:52Z,Will Chart Analysts Notice Bad Omen on Booking Holdings's Chart,"If history is any guide, there may be trouble ahead for shares of Booking Holdings (NASDAQ:BKNG).  A so-called &#34;death cross&#34; has formed on its chart and, not surprisingly, this could be bearish for the stock."
1,BKNG,2022-01-19T20:05:34Z,Analyst Ratings For Booking Holdings,"Within the last quarter, Booking Holdings (NASDAQ:BKNG) has observed the following analyst ratings: "
2,BKNG,2022-01-19T13:51:30Z,"Morgan Stanley Maintains Equal-Weight on Booking Holdings, Raises Price Target to $2660",
3,BKNG,2022-01-13T18:46:35Z,Booking's KAYAK Integrates Southwest Airlines Into Business Travel Platform,"
	KAYAK, part of Booking Holdings Inc (NASDAQ: BKNG), has integrated Southwest Airlines Co (NYSE: LUV) into its KAYAK for Business platform.
"
4,BKNG,2022-01-13T14:03:23Z,Southwest Airlines Now Available On KAYAK For Business,
5,BKNG,2022-01-07T17:41:54Z,9 Consumer Discretionary Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
6,BKNG,2022-01-06T17:43:36Z,"Boeing Shares Tick Higher, Booking Shares Quiet As Trader Brenda Vingiello Calls Stocks Top Picks For 2022",
7,BKNG,2021-12-30T17:39:32Z,10 Consumer Discretionary Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
8,BKNG,2021-12-16T15:13:39Z,"Benzinga's Top Ratings Upgrades, Downgrades For December 16, 2021", 
9,BKNG,2021-12-16T11:09:22Z,"RBC Capital Upgrades Booking Holdings to Outperform, Announces $2700 Price Target",
10,BKNG,2021-12-15T15:05:47Z,"Benzinga's Top Ratings Upgrades, Downgrades For December 15, 2021", 
11,BKNG,2021-12-15T12:26:02Z,10 Biggest Price Target Changes For Wednesday,"
	Barclays boosted the price target on  Sysco Corporation  (NYSE: SYY) from $80 to $86. Sysco shares rose 0.9% to $74.20 in pre-market trading.
"
12,BKNG,2021-12-15T10:56:35Z,A Peek Into The Markets: US Stock Futures Mixed; All Eyes On Fed Rate Decision,Pre-open movers
13,BKNG,2021-12-15T10:31:47Z,"JP Morgan Upgrades Booking Holdings to Overweight, Raises Price Target to $2690",
14,BKNG,2021-12-13T18:21:43Z,Check Out What Whales Are Doing With BKNG,"Someone with a lot of money to spend has taken a bearish stance on Booking Holdings (NASDAQ:BKNG).

And retail traders should know.

We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
15,BKNG,2021-12-02T16:22:01Z,"Benzinga's Top Ratings Upgrades, Downgrades For December 2, 2021", 
16,BKNG,2021-12-02T16:08:08Z,Expert Ratings For Booking Holdings,Analysts have provided the following ratings for Booking Holdings (NASDAQ:BKNG) within the last quarter: 
17,BKNG,2021-12-02T13:42:40Z,"UBS Initiates Coverage On Booking Holdings with Buy Rating, Announces Price Target of $2838",
18,BKNG,2021-12-02T12:35:14Z,"CNBC's Final Trades: Bath & Body Works, Lam Research, Williams-Sonoma And This Travel Stock","On CNBC’s “Halftime Report Final Trades,” Stephanie Link of Hightower named Bath &amp; Body Works Inc (NYSE: BBWI) as her pick."
19,BKNG,2021-12-01T23:02:06Z,Order Food Delivery With GrubHub To Earn Free Bitcoin: Here's The Details,A food delivery company is offering a new incentive to try to gain market share in the highly competitive market: free Bitcoin.
20,BKNG,2021-11-30T16:12:13Z,"CNBC's Final Trades: Costco, Moderna And These Plays On Travel Recovery","On CNBC’s “Halftime Report Final Trades,” Joseph Terranova of Virtus Investment Partners said that the best thing about Costco Wholesale Corporation (NASDAQ: COST) is that “it doesn&amp;r"
21,BKNG,2021-11-29T18:01:02Z,"CNBC Halftime Reports Final Trades: Booking.com, Alaska Air, Moderna, Costco",
