,ticker,timestamp,headline,summary
0,CLS,2022-01-28T09:59:13Z,64 Biggest Movers From Yesterday,"Gainers

 "
1,CLS,2022-01-27T17:11:12Z,46 Stocks Moving In Thursday's Mid-Day Session,"Gainers


	Indonesia Energy Corporation Limited (NASDAQ: INDO) shares jumped 158.2% to $7.23 after tumbling 18% on Wednesday. Indonesia Energy said it projects to commence drilling of 2 back-to-back new wells within 30 days and a third by mid-year.
"
2,CLS,2022-01-27T10:21:30Z,"A Peek Into The Markets: US Stock Futures Edge Higher Ahead Of Earnings, Economic Reports",Pre-open movers
3,CLS,2022-01-27T09:36:06Z,Recap: Celestica Q4 Earnings," 

Celestica (NYSE:CLS) reported its Q4 earnings results on Wednesday, January 26, 2022 at 05:00 PM.

Here&#39;s what investors need to know about the announcement."
4,CLS,2022-01-26T23:01:59Z,"Celestica Sees Q1 EPS $0.31-$0.37 Vs. $0.32 Est., Sales $1.4B-$1.55B Vs. $1.49B Est.",
5,CLS,2022-01-26T23:01:00Z,"Celestica Q4 EPS $0.44 Beats $0.32 Estimate, Sales $1.50B Beat $1.49B Estimate",
6,CLS,2022-01-26T08:59:16Z,"Earnings Scheduled For January 26, 2022"," 

Companies Reporting Before The Bell

• Blue Foundry (NASDAQ:BLFY) is projected to report earnings for its fourth quarter."
7,CLS,2022-01-25T15:07:58Z,Earnings Outlook For Celestica,"Celestica (NYSE:CLS) is set to give its latest quarterly earnings report on Wednesday, 2022-01-26. Here&#39;s what investors need to know before the announcement.
Analysts estimate that Celestica will likely report an Earnings Per Share (EPS) of $0.32. "
8,CLS,2021-12-01T13:02:43Z,Celestica Reaffirms Fourth Quarter 2021 Guidance,
9,CLS,2021-10-27T09:05:17Z,61 Biggest Movers From Yesterday,"Gainers


	Inspira Technologies Oxy B.H.N. Ltd. (NASDAQ: IINN) shares surged 308.1% to settle at $9.59 on Tuesday after the company signed an agreement with Waas Group for the development 1,040 ART systems in Spain and Portugal.
"
10,CLS,2021-10-26T16:01:38Z,40 Stocks Moving In Tuesday's Mid-Day Session,"Gainers


	Wallbox N.V.  (NYSE: WBX) shares climbed 54.5% to $17.16. Uber and Wallbox N.V. disclosed a strategic partnership to simplify the transition to EVs for Bay Area ride share drivers using Uber.
"
11,CLS,2021-10-25T08:24:08Z,"Earnings Scheduled For October 25, 2021"," 

Companies Reporting Before The Bell

• HNI (NYSE:HNI) is expected to report quarterly earnings at $0.43 per share on revenue of $592.14 million."
