,ticker,timestamp,headline,summary
0,DLB,2022-02-07T16:59:02Z,Stocks That Hit 52-Week Lows On Monday," 

 

On Monday, 71 stocks hit new 52-week lows."
1,DLB,2022-02-07T14:49:03Z,Looking Into Dolby Laboratories's Return On Capital Employed,"According to Benzinga Pro, during Q1, Dolby Laboratories (NYSE:DLB) earned $80.01 million, a 80.9% increase from the preceding quarter. Dolby Laboratories also posted a total of $351.63 million in sales, a 23.37% increase since Q4."
2,DLB,2022-02-04T17:56:59Z,12 Information Technology Stocks Moving In Friday's Intraday Session, 
3,DLB,2022-02-04T17:54:57Z,Stocks That Hit 52-Week Lows On Friday," 

 

On Friday, 209 companies set new 52-week lows."
4,DLB,2022-02-03T21:52:25Z,Dolby Laboratories: Q1 Earnings Insights,"Dolby Laboratories (NYSE:DLB) reported its Q1 earnings results on Thursday, February 3, 2022 at 04:15 PM.

Here&#39;s what investors need to know about the announcement."
5,DLB,2022-02-03T21:29:32Z,"Dolby Laboratories Q1 EPS $1.01 Misses $1.06 Estimate, Sales $351.63M Miss $362.22M Estimate",
6,DLB,2022-02-03T21:46:49Z,CORRECTION: Dolby Q1 Sales $351.63M Miss $362.22M Estimate,
7,DLB,2022-02-03T21:27:22Z,Dolby Acquires Millicast; Terms Not Disclosed,
8,DLB,2022-02-03T08:50:54Z,"Earnings Scheduled For February 3, 2022"," 

Companies Reporting Before The Bell

• Tuesday Morning (NASDAQ:TUEM) is likely to report earnings for its second quarter."
9,DLB,2021-11-16T22:14:55Z,Recap: Dolby Laboratories Q4 Earnings,"Dolby Laboratories (NYSE:DLB) reported its Q4 earnings results on Tuesday, November 16, 2021 at 04:15 PM.

Here&#39;s what investors need to know about the announcement."
10,DLB,2021-11-16T21:17:56Z,"Dolby Sees FY22 Sales $1.34B-$1.4B vs $1.3B Estimate, Adj. EPS $3.52-$4.02 vs $3.66 Est.",
11,DLB,2021-11-16T21:17:45Z,"Dolby Laboratories Sees Q1 EPS $0.98-$1.13 Vs. $1.31 Est., Sales $345M-$375M Vs. $389.77M Est.",
12,DLB,2021-11-16T21:16:33Z,"Dolby Laboratories Q4 EPS $0.58 Beats $0.56 Estimate, Sales $285.02M Miss $299.95M Estimate",
13,DLB,2021-11-16T09:06:01Z,"Earnings Scheduled For November 16, 2021"," 

Companies Reporting Before The Bell

• Ozon Holdings (NASDAQ:OZON) is expected to report quarterly loss at $0.90 per share on revenue of $602.00 million."
14,DLB,2021-11-15T15:27:49Z,Dolby Laboratories's Earnings: A Preview,"Dolby Laboratories (NYSE:DLB) is set to give its latest quarterly earnings report on Tuesday, 2021-11-16. Here&#39;s what investors need to know before the announcement.

Analysts estimate that Dolby Laboratories will likely report an Earnings Per Share (EPS) of $0.56"
15,DLB,2021-10-15T16:05:34Z,Dolby Laboratories Names Robert Park As CFO,
16,DLB,2021-10-14T15:58:37Z,"Dolby, MGM Resorts Launch 'Dolby Live' At Park MGM","
"
17,DLB,2021-10-14T15:20:00Z,President And CEO Of Dolby Laboratories Trades $3.8M In Company Stock," Kevin Yeaman, President And CEO at Dolby Laboratories (NYSE:DLB), made a large buy and sell of company shares on October 12, according to a new SEC filing."
18,DLB,2021-10-14T12:36:15Z,Dolby And MGM Resorts International Launch Dolby Live At Park MGM,
19,DLB,2021-09-17T14:18:59Z,President And CEO Of Dolby Laboratories Trades $3.89 Million In Company Stock,"Kevin Yeaman, President And CEO at Dolby Laboratories (NYSE:DLB), made a large buy and sell of company shares on September 14, according to a new SEC filing."
20,DLB,2021-09-10T12:37:15Z,"Vimeo, Dolby To Bring Premier Quality Video Experience To Millions Of Apple Users",
21,DLB,2021-08-02T14:23:42Z,"Benzinga's Top Ratings Upgrades, Downgrades For August 2, 2021", 
22,DLB,2021-08-02T13:07:56Z,"Barrington Research Upgrades Dolby Laboratories to Outperform, Announces $115 Price Target",
23,DLB,2021-07-29T21:15:56Z,Dolby Laboratories: Q3 Earnings Insights,"Shares of Dolby Laboratories (NYSE:DLB) fell in after-market trading after the company reported Q3 results.

Quarterly Results

Earnings per share decreased 17.44% year over year to $0.71, which beat the estimate of $0.47."
24,DLB,2021-07-29T20:28:15Z,"Dolby Sees Q3 Adj. EPS $0.47-$0.62 vs $0.66 Est., Sales $280M-$310M vs $304.83M Est.; Sees FY21 Adj. EPS $3.57-$3.72 vs $3.51 Est., Sales $1.28B-$1.31B vs $1.29B Est.",
25,DLB,2021-07-29T20:24:42Z,Dolby Adds $350M To Buyback,
26,DLB,2021-07-29T20:24:21Z,"Dolby Laboratories Q3 Adj. EPS $0.71 Beats $0.47 Estimate, Sales $286.80M Beat $278.79M Estimate",
27,DLB,2021-07-29T08:23:16Z,"Earnings Scheduled For July 29, 2021"," 

Companies Reporting Before The Bell

• Smith &amp; Nephew (NYSE:SNN) is projected to report earnings for its second quarter."
28,DLB,2021-05-06T09:27:33Z,70 Biggest Movers From Yesterday,"Gainers


	Nemaura Medical Inc. (NASDAQ: NMRD) shares surged 135.3% to close at $11.06 on Wednesday after the company receipt of a purchase order for 5,000 sugarBEAT transmitters and 200,000 sugarBEAT sensors from its U.K. licensee, DB Ethitronix Ltd.
"
29,DLB,2021-05-05T16:06:59Z,50 Stocks Moving In Wednesday's Mid-Day Session,"Gainers


	Nemaura Medical Inc. (NASDAQ: NMRD) shares jumped 64.9% to $7.75 after the company reported an order for 200,000 sugarBEAT sensors.
"
30,DLB,2021-05-04T21:16:56Z,"Dolby Laboratories Announces Chew, Executive Vice President and Chief Financial Officer Has Decided to Retire",
31,DLB,2021-05-04T21:12:06Z,Dolby Sees H2'21 Sales $560M-$600M,
32,DLB,2021-05-04T21:11:54Z,"Dolby Sees Q3 Adj. EPS $0.37-$0.52 vs $0.63 Estimate, Sales $260M-$290M vs $278.8M Est.",
33,DLB,2021-05-04T21:02:21Z,Dolby Reports CFO Lewis Chew To Retire; Co. Has Initiated Search To Find Replacement,
34,DLB,2021-05-04T20:36:57Z,Dolby Laboratories: Q2 Earnings Insights,"Shares of Dolby Laboratories (NYSE:DLB) were flat in after-market trading after the company reported Q2 results.

Quarterly Results

Earnings per share decreased 12.50% year over year to $0.91, which beat the estimate of $0.67."
35,DLB,2021-05-04T20:36:29Z,"Dolby Laboratories Q2 EPS $0.91 Beats $0.67 Estimate, Sales $319.56M Beat $294.29M Estimate",
36,DLB,2021-05-04T08:21:32Z,"Earnings Scheduled For May 4, 2021"," 

Companies Reporting Before The Bell

• Lancaster Colony (NASDAQ:LANC) is likely to report quarterly earnings at $1.24 per share on revenue of $340.02 million."
37,DLB,2021-04-05T14:19:05Z,Stocks That Hit 52-Week Highs On Monday," 

Monday&#39;s morning session saw 277 companies set new 52-week highs."
38,DLB,2021-03-02T15:24:28Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

Before 10 a.m. ET on Tuesday, 165 companies set new 52-week highs."
39,DLB,2021-03-01T16:17:45Z,Stocks That Hit 52-Week Highs On Monday," 

During Monday&#39;s morning session, 230 companies made new 52-week highs."
40,DLB,2021-02-26T15:22:25Z,Stocks That Hit 52-Week Highs On Friday," 

 

Before 10 a.m. ET Friday, 39 stocks made new 52-week highs."
41,DLB,2021-01-29T17:00:11Z,"B. Riley FBR Maintains Neutral on Dolby Laboratories, Raises Price Target to $89",
42,DLB,2021-01-28T22:21:24Z,Recap: Dolby Laboratories Q1 Earnings,"Shares of Dolby Laboratories (NYSE:DLB) moved higher in after-market trading after the company reported Q1 results.

Quarterly Results

Earnings per share increased 131.25% year over year to $1.48, which beat the estimate of $1.04."
43,DLB,2021-01-28T22:17:14Z,16 Stocks Moving In Thursday's After-Hours Session,"Gainers


	Western Digital (NASDAQ: WDC) shares are trading higher after the company reported better-than-expected Q2 EPS and sales results and issued Q3 guidance.
"
44,DLB,2021-01-28T21:25:20Z,"Dolby Sees Q2 Adj. EPS $0.57-$0.72 vs $0.62 Est., Sales $280M-$310M vs $290.1M Est.",
45,DLB,2021-01-28T21:23:06Z,"Dolby Laboratories Q1 Adj. EPS $1.48 Beats $1.04 Estimate, Sales $389.90M Beat $345.33M Estimate",
46,DLB,2021-01-28T09:07:54Z,"Earnings Scheduled For January 28, 2021"," 

Companies Reporting Before The Bell

• OSI Systems (NASDAQ:OSIS) is expected to report quarterly earnings at $1.14 per share on revenue of $272.66 million."
47,DLB,2021-01-27T15:15:25Z,Dolby Laboratories's Earnings Outlook,"Dolby Laboratories (NYSE:DLB) unveils its next round of earnings this Thursday, January 28. Get prepared with Benzinga&#39;s ultimate preview for Dolby Laboratories&#39;s Q1 earnings."
48,DLB,2021-01-07T19:19:48Z,Stocks That Hit 52-Week Highs On Thursday," 

 

Thursday&#39;s morning session saw 641 companies set new 52-week highs."
49,DLB,2020-12-30T15:21:54Z,Stocks That Hit 52-Week Highs On Wednesday," 

Wednesday morning saw 123 companies set new 52-week highs."
50,DLB,2020-12-28T15:22:15Z,Stocks That Hit 52-Week Highs On Monday," 

This morning 301 companies reached new 52-week highs."
51,DLB,2020-12-23T15:57:26Z,Stocks That Hit 52-Week Highs On Wednesday," 

Wednesday morning saw 335 companies set new 52-week highs."
52,DLB,2020-12-22T15:30:48Z,Stocks That Hit 52-Week Highs On Tuesday," 

During Tuesday&#39;s morning session, 342 companies made new 52-week highs."
53,DLB,2020-12-18T19:41:54Z,Stocks That Hit 52-Week Highs On Friday," 

Friday&#39;s session saw 466 companies set new 52-week highs."
54,DLB,2020-12-09T15:10:24Z,Stocks That Hit 52-Week Highs On Wednesday," 

Before 10 a.m. ET on Wednesday, 322 companies hit new 52-week highs."
55,DLB,2020-12-08T15:11:13Z,Stocks That Hit 52-Week Highs On Tuesday," 

Before 10 a.m. ET on Tuesday, 172 companies hit new 52-week highs."
56,DLB,2020-12-08T14:29:39Z,"Reviewing A Supplier, Customer & Country Exposures With Yewno|Edge","Yewno is an Artificial Intelligence (AI) and data science company founded in 2015 and is based in Palo Alto, California. The company uses a unique approach to knowledge and learning via a powerful AI-driven platform. This technology is currently used in education, publishing, government, biomedical and financial applications."
57,DLB,2020-12-07T15:34:26Z,Stocks That Hit 52-Week Highs On Monday," 

During the morning session on Monday, 243 stocks hit new 52-week highs."
58,DLB,2020-12-04T16:25:15Z,Stocks That Hit 52-Week Highs On Friday," 

During Friday&#39;s morning session, 217 companies made new 52-week highs."
59,DLB,2020-11-27T17:27:14Z,Stocks That Hit 52-Week Highs On Friday," 

This morning 230 companies reached new 52-week highs."
60,DLB,2020-11-20T15:15:40Z,Understanding Dolby Laboratories's Ex-Dividend Date,"On November 12, 2020, Dolby Laboratories (NYSE: DLB) announced shareholders can expect to receive a dividend payable on December 4, 2020. The stock will then go ex-dividend 1 business day(s) before the record date. The ex-dividend date for Dolby Laboratories will be on November 23, 2020."
61,DLB,2020-11-17T15:44:33Z,Stocks That Hit 52-Week Highs On Tuesday," 

Tuesday morning saw 69 companies set new 52-week highs."
62,DLB,2020-11-17T14:51:51Z,"Stocks Trading Near 52-Week Highs Just After Open On Tuesday, Nov. 17, 2020: CAPA, FSRVU, TRTN, ATRA, BEEMW, COOP, NBACU, STKL, KLAC, DLB, PCGU, GNTX, CSV, CCCC, DAC, BHVN, DTP, ACHC, GM, QCOM, FOLD, SNX, GRWG, CHI, CHY, UPWK",
63,DLB,2020-11-12T21:44:29Z,Recap: Dolby Laboratories Q4 Earnings,"Shares of Dolby Laboratories (NYSE:DLB) increased 3.38% in after-market trading after the company reported Q4 results.

Quarterly Results

Earnings per share fell 31.82% over the past year to $0.45, which beat the estimate of $0.34."
64,DLB,2020-11-12T21:17:38Z,"Dolby Sees Q1 Adj. EPS $0.97-$1.12, Sales $330M-$360M; Q2 Sales $270M-$300M",
65,DLB,2020-11-12T21:16:59Z,"Dolby Laboratories Q4 Adj. EPS $0.45 Beats $0.34 Estimate, Sales $271.20M Beat $244.44M Estimate",
66,DLB,2020-11-12T09:18:15Z,"Earnings Scheduled For November 12, 2020"," 

Companies Reporting Before The Bell

• Redhill Biopharma (NASDAQ:RDHL) is projected to report quarterly loss at $0.16 per share on revenue of $25.37 million.

• Alithya Group (NASDAQ:ALYA) is expected to report earnings for its second quarter."
67,DLB,2020-11-11T15:16:08Z,Dolby Laboratories's Earnings Outlook,"Dolby Laboratories (NYSE: DLB) releases its next round of earnings this Thursday, November 12. Get the latest predictions in Benzinga&#39;s essential guide to the company&#39;s Q4 earnings report."
68,DLB,2020-11-09T17:24:29Z,Stocks That Hit 52-Week Highs On Monday," 

During Monday&#39;s morning session, 460 companies made new 52-week highs."
69,DLB,2020-11-06T16:15:18Z,Stocks That Hit 52-Week Highs On Friday," 

During the morning session on Friday, 177 stocks hit new 52-week highs."
70,DLB,2020-11-05T15:31:23Z,Stocks That Hit 52-Week Highs On Thursday," 

Thursday&#39;s morning session saw 213 companies set new 52-week highs."
71,DLB,2020-11-04T15:30:34Z,Stocks That Hit 52-Week Highs On Wednesday," 

This morning 118 companies reached new 52-week highs."
72,DLB,2020-11-03T16:43:27Z,Stocks That Hit 52-Week Highs On Tuesday," 

Before 10 a.m. ET on Tuesday, 58 companies hit new 52-week highs."
73,DLB,2020-11-02T15:23:51Z,Stocks That Hit 52-Week Highs On Monday," 

During Monday&#39;s morning session, 34 companies made new 52-week highs."
74,DLB,2020-10-30T14:25:08Z,Stocks That Hit 52-Week Highs On Friday," 

This morning 21 companies reached new 52-week highs.

Here are all the stocks that set new 52-week highs during the first half-hour of trading on Friday:"
75,DLB,2020-09-30T15:39:13Z,Meltdown-Resistant Tech Stocks,"Big Tech reached record highs after the March lows. But the wheel of fortune keeps turning, and tech has been mostly rangebound for the last month. However, even if trading range continues there are stocks that are companies more insulated than others and should be bought regardless of the stock&#39;s performance.  

Amazon "
76,DLB,2020-08-04T14:28:21Z,Stocks That Hit 52-Week Highs On Tuesday,"During Tuesday&#39;s morning session, 138 companies made new 52-week highs."
77,DLB,2020-08-03T21:01:34Z,Dolby Laboratories: Q3 Earnings Insights,"Shares of Dolby Laboratories (NYSE:DLB) fell 0.4% in after-market trading after the company reported Q3 results.

Quarterly Results

Earnings per share rose 13.16% over the past year to $0.86, which beat the estimate of $0.27."
78,DLB,2020-08-03T20:21:04Z,"Dolby Laboratories Sees Q4 Adj. EPS $0.22-$0.37 vs $0.42 Est., Sales $225M-$255M vs $251.74M Est.; Sees FY20 Adj. EPS $2.76-$2.91 vs $2.36 Est., Sales $1.12B-$1.15B vs $1.13B Est.",
79,DLB,2020-08-03T20:18:17Z,"Dolby Laboratories Q3 Adj. EPS $0.86 May Not Compare To $0.27 Estimate, Sales $246.90M Beat $232.61M Estimate",
80,DLB,2020-08-03T08:13:18Z,"Earnings Scheduled For August 3, 2020"," Companies Reporting Before The Bell

• Atlantica Sustainable Inc. (NASDAQ:AY) is estimated to report quarterly earnings at $0.15 per share on revenue of $261.76 million."
81,DLB,2020-06-24T13:37:04Z,"Benzinga's Top Upgrades, Downgrades For June 24, 2020","Upgrades


"
82,DLB,2020-06-24T09:51:31Z,"B. Riley FBR Downgrades Dolby Laboratories to Neutral, Raises Price Target to $72",
83,DLB,2020-05-05T13:48:38Z,"JP Morgan Maintains Overweight on Dolby Laboratories, Lowers Price Target to $65",
84,DLB,2020-05-05T11:46:18Z,"B. Riley FBR Maintains Buy on Dolby Laboratories, Lowers Price Target to $68",
85,DLB,2020-05-04T20:19:41Z,"Dolby Laboratories Sees Q3 Adj. EPS $0.18-$0.35, Sales $225M-$250M",
86,DLB,2020-05-04T20:17:55Z,"Dolby Laboratories Q2 EPS $1.040 Misses $1.090 Estimate, Sales $351.815M Miss $361.350M Estimate",
87,DLB,2020-04-15T10:58:47Z,"B. Riley FBR Maintains Buy on Dolby Laboratories, Raises Price Target to $71",
88,DLB,2020-03-24T14:02:23Z,"Benzinga's Top Upgrades, Downgrades For March 24, 2020",
89,DLB,2020-03-24T11:33:08Z,"B. Riley FBR Upgrades Dolby Laboratories to Buy, Raises Price Target to $60",
90,DLB,2020-03-24T09:06:34Z,"B. Riley Upgrades Dolby Laboratories to Buy, Announces $60 Price Target",
91,DLB,2020-03-18T15:37:49Z,Stocks That Hit 52-Week Lows On Wednesday,
92,DLB,2020-03-18T11:03:53Z,"B. Riley FBR Maintains Neutral on Dolby Laboratories, Lowers Price Target to $57",
93,DLB,2020-03-16T15:51:23Z,Stocks That Hit 52-Week Lows On Monday,
94,DLB,2020-03-13T14:20:23Z,"Benzinga's Top Upgrades, Downgrades For March 13, 2020",
95,DLB,2020-03-13T09:36:18Z,"JP Morgan Upgrades Dolby Laboratories to Overweight, Announces $66 Price Target",
96,DLB,2020-03-12T16:10:12Z,Stocks That Hit 52-Week Lows On Thursday,
97,DLB,2020-02-20T15:26:35Z,Stocks That Hit 52-Week Highs On Thursday,
98,DLB,2020-02-19T15:32:10Z,Stocks That Hit 52-Week Highs On Wednesday,
99,DLB,2020-02-06T15:39:55Z,Stocks That Hit 52-Week Highs On Thursday,
100,DLB,2020-02-05T15:16:01Z,Stocks That Hit 52-Week Highs On Wednesday,
101,DLB,2020-02-04T15:18:56Z,Stocks That Hit 52-Week Highs On Tuesday,
102,DLB,2020-02-03T16:44:05Z,Stocks That Hit 52-Week Highs On Monday,
103,DLB,2020-01-29T21:37:52Z,"Dolby Laboratories Q1 EPS $0.64 Beats $0.49 Estimate, Sales $291.88M Beat $285.81M Estimate",
104,DLB,2020-01-23T19:27:48Z,"Benzinga's Top Upgrades, Downgrades For January 23, 2020",
105,DLB,2020-01-10T17:16:46Z,"Benzinga's Top Upgrades, Downgrades For January 10, 2020",
106,DLB,2020-01-10T12:27:10Z,"B. Riley FBR Downgrades Dolby Laboratories to Neutral, Announces $73 Price Target",
107,DLB,2019-11-15T12:52:37Z,35 Stocks Moving in Friday's Pre-Market Session,
108,DLB,2019-11-15T00:44:45Z,5 Stocks Moving In Thursday's After-Hours Session,
109,DLB,2019-11-14T21:20:49Z,"Dolby Laboratories Sees Q1 Adj. EPS $0.45-$0.51, Sales $275M-$295M; Sees FY20 Adj. EPS $3.40-$3.50, Sales $1.30B-$1.35B vs $1.35B Est.",
