,ticker,timestamp,headline,summary
0,DOCU,2022-02-09T19:02:02Z,DocuSign Whale Trades Spotted,"Someone with a lot of money to spend has taken a bullish stance on DocuSign (NASDAQ:DOCU).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
1,DOCU,2022-02-08T17:40:05Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
2,DOCU,2022-01-31T02:49:19Z,Cathie Wood Sheds $14.5M In Spotify Amid Joe Rogan Controversy And Piles Up Another $31M In Robinhood,Cathie Wood-led Ark Investment Management on Friday further raised its exposure in Robinhood Markets Inc (NASDAQ: HOOD) on the day shares of the financial services company rallied nearly 10% and shed shares in streaming audio-on-demand platform Spotify Technolo
3,DOCU,2022-01-26T14:55:58Z,"Shares of companies in the software space were trading higher, rebounding from recent weakness amid a rise in yields and concerns over fed tapering, which has caused volatility in the sector. Stronger-than-expected Q4 earnings results from Microsoft have also helped lift the sector.",
4,DOCU,2022-01-25T20:01:35Z,What Are Whales Doing With DocuSign,"Someone with a lot of money to spend has taken a bearish stance on DocuSign (NASDAQ:DOCU).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
5,DOCU,2022-01-21T17:35:55Z,10 Information Technology Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
6,DOCU,2022-01-20T17:03:40Z,DocuSign Whale Trades For January 20,"Someone with a lot of money to spend has taken a bearish stance on DocuSign (NASDAQ:DOCU).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
7,DOCU,2022-01-18T15:59:28Z,Stocks That Hit 52-Week Lows On Tuesday," 

Tuesday morning saw 454 companies set new 52-week lows."
8,DOCU,2022-01-14T19:24:17Z,DocuSign Whale Trades For January 14,"A whale with a lot of money to spend has taken a noticeably bearish stance on DocuSign.
Looking at options history for DocuSign (NASDAQ:DOCU) we detected 10 strange trades."
9,DOCU,2022-01-11T19:04:45Z,Peering Into DocuSign Inc. - Common Stock's Recent Short Interest,"DocuSign Inc. - Common Stock&#39;s (NASDAQ:DOCU) short percent of float has risen 44.55% since last its last report. The company recently reported that it has 9.00 million shares sold short, which is 4.64% of all regular shares that are available for trading."
10,DOCU,2022-01-11T17:35:52Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
