,ticker,timestamp,headline,summary
0,DUOL,2022-02-04T12:38:07Z,Executives Buy More Than $28M Of 4 Stocks,"Amazon.com, Inc. (NASDAQ: AMZN) reported better-than-expected earnings for its fourth quarter, which sent the Nasdaq futures higher this morning. Investors, meanwhile, focused on some notable insider trades."
1,DUOL,2022-01-27T13:31:23Z,"3 Stocks Insiders Are Buying: Appian, Duolingo And More","US crude oil futures gained around 0.5% this morning, recording gains for a third straight session amid concerns over tight supply."
2,DUOL,2022-01-19T15:34:59Z,Stocks That Hit 52-Week Lows On Wednesday," 

 

During Wednesday&#39;s morning trading, 400 companies set new 52-week lows."
3,DUOL,2022-01-14T17:30:00Z,Stocks That Hit 52-Week Lows On Friday," 

During Friday&#39;s session, 445 companies made new 52-week lows."
4,DUOL,2022-01-13T21:29:15Z,12 Consumer Discretionary Stocks Moving In Thursday's Intraday Session,"Gainers

"
5,DUOL,2022-01-13T14:55:21Z,What 5 Analyst Ratings Have To Say About Duolingo,"Within the last quarter, Duolingo (NASDAQ:DUOL) has observed the following analyst ratings: "
6,DUOL,2022-01-13T13:26:43Z,"Piper Sandler Maintains Overweight on Duolingo, Lowers Price Target to $137",
7,DUOL,2022-01-12T11:29:05Z,3 Stocks Insiders Are Buying,"When insiders purchase shares, it indicates their confidence in the company&#39;s prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock. Insider purchases should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a buying decision."
8,DUOL,2022-01-06T17:14:13Z,Stocks That Hit 52-Week Lows On Thursday," 

 

On Thursday, 615 stocks hit new 52-week lows."
9,DUOL,2021-12-28T10:47:41Z,Evercore ISI's Top Internet Picks For 2022,"
	With interest rates rising and global economies &#34;hopefully opening&#34; in 2022, Evercore ISI analyst Mark Mahaney has a &#34;more muted/ cautious stance&#34; on the internet space, which he calls a &#34;relatively high-growth, high-multiple&#34; sector going into 2022.
"
10,DUOL,2021-12-09T22:26:25Z,Could Language Learning App Duolingo Be Another Benefactor Of 'Squid Game' Mania?,"The success of “Squid Game” has helped streaming stock Netflix Inc (NASDAQ: NFLX) and could provide a future lift with the current fiscal quarter, including a potential surge in new subscribers."
11,DUOL,2021-12-06T17:32:18Z,12 Consumer Discretionary Stocks Moving In Monday's Intraday Session,"Gainers

"
12,DUOL,2021-11-24T17:48:12Z,12 Consumer Discretionary Stocks Moving In Wednesday's Intraday Session,"Gainers

"
13,DUOL,2021-11-11T17:08:56Z,Expert Ratings For Duolingo," Over the past 3 months, 10 analysts have published their opinion on Duolingo (NASDAQ:DUOL) stock. These analysts are typically employed by large Wall Street banks and tasked with understanding a company&#39;s business to predict how a stock will trade over the upcoming year."
14,DUOL,2021-11-11T15:01:39Z,"Benzinga's Top Ratings Upgrades, Downgrades For November 11, 2021"," Upgrades
"
15,DUOL,2021-11-11T13:09:21Z,"Evercore ISI Group Upgrades Duolingo to Outperform, Raises Price Target to $195",
16,DUOL,2021-11-11T12:10:01Z,"Barclays Maintains Equal-Weight on Duolingo, Raises Price Target to $160",
17,DUOL,2021-11-11T09:56:56Z,"Piper Sandler Maintains Overweight on Duolingo, Raises Price Target to $182",
18,DUOL,2021-11-10T21:25:21Z,"Duolingo Sees Q4 Sales $66.5M-$69.5M Vs. $65.65M Est., FY21 Sales $244M-$247M Vs. $240.37M Est.",
19,DUOL,2021-11-10T21:24:03Z,"Duolingo Q3 EPS $(0.98) Misses $(0.95) Estimate, Sales $63.60M Beat $60.43M Estimate",
20,DUOL,2021-11-10T09:08:51Z,"Earnings Scheduled For November 10, 2021"," 

Companies Reporting Before The Bell

• LumiraDx (NASDAQ:LMDX) is projected to report quarterly loss at $0.24 per share on revenue of $94.32 million."
21,DUOL,2021-11-03T16:29:17Z,What 7 Analyst Ratings Have To Say About Duolingo,"Over the past 3 months, 7 analysts have published their opinion on Duolingo (NASDAQ:DUOL) stock. These analysts are typically employed by large Wall Street banks and tasked with understanding a company&#39;s business to predict how a stock will trade over the upcoming year."
22,DUOL,2021-11-03T11:51:48Z,"JMP Securities Maintains Market Outperform on Duolingo, Raises Price Target to $180",
23,DUOL,2021-10-22T15:44:52Z,3 Big Winners From Google's Play Store Fee Cut,"Following changes Apple, Inc."
24,DUOL,2021-10-22T09:12:05Z,54 Biggest Movers From Yesterday,"Gainers


	Digital World Acquisition Corp.  (NASDAQ: DWAC) shares climbed 356.8% to close at $45.50 on Thursday following an announcement the company will merge with Trump Media &amp; Technology Group.
"
25,DUOL,2021-10-15T16:35:41Z,11 Consumer Discretionary Stocks Moving In Friday's Intraday Session, 
26,DUOL,2021-09-26T20:31:40Z,"Cramer Gives His Opinion On Carnival Corp, Doximity And More","On CNBC&#39;s &#34;Mad Money Lightning Round,&#34; Jim Cramer said Carnival Corp (NYSE: CCL) is good, but Norwegian Cruise Line Holdings Ltd (NYSE: "
27,DUOL,2021-08-30T20:14:25Z,The Staying Power of Remote Learning — And Remote Learning Stocks,"It appears that remote learning will remain in some fashion, even beyond the pandemic, according to a recent survey by the Rand Corporation think tank."
28,DUOL,2021-08-30T11:41:35Z,"B of A Securities Initiates Coverage On Duolingo with Buy Rating, Announces Price Target of $160",
