,ticker,timestamp,headline,summary
0,INFY,2022-02-09T10:05:56Z,Infosys Collaborates with Qualtrics to Help Enterprises Deliver Personalized Experiences,
1,INFY,2022-02-01T06:44:20Z,"Battered Indian Tech Stocks Popular With Retail Investors Recover, Following Similar Path Charted By US Counterparts",Indian tech stocks extended their rally on Tuesday following the strong gains overnight by their U.S. peers — including Tesla Inc. (NASDAQ: TSLA) and Apple Inc. (NASDAQ: AAPL).
2,INFY,2022-01-31T15:05:51Z,Here's Why Wedbush Added Infosys To Best Ideas List,"
	Infosys Ltd (NYSE: INFY) received some positive commentary from Wall Street, as Wedbush Securities added the stock to its Best Ideas List, noting it is &#34;well-positioned&#34; to bring the highest growth rates in the sector.
"
3,INFY,2022-01-17T12:53:50Z,"CNBC's Final Trades: Infosys, Salesforce, Coinbase Global And This Luxury Goods Retailer","On CNBC’s “Halftime Report Final Trades,” Degas Wright of Decatur Capital Management said Infosys Ltd (NYSE: INFY) is based in India and has become the global leader in IT outsourcing and c"
4,INFY,2022-01-14T18:00:19Z,"CNBC Halftime Report Final Trades: Infosys, Salesforce, Coinbase, Farfetch",
5,INFY,2022-01-12T13:22:28Z,12 Information Technology Stocks Moving In Wednesday's Pre-Market Session, 
6,INFY,2022-01-12T13:02:34Z,"Infosys Q3 Sales Comes Ahead Of Consensus, Raises FY22 Revenue Outlook",Infosys Ltd (NYSE: INFY) reported 
7,INFY,2022-01-12T12:43:52Z,Infosys Raises FY22 Sales Growth Guidance From 16.5-17.5% To 19.5-20%,
8,INFY,2022-01-12T12:41:01Z,"Infosys Earlier Reported Q3 EPS $0.18, Inline, Sales $4.25B Beat $4.08B Estimate",
9,INFY,2022-01-12T12:10:45Z,Infosys: Q3 Earnings Insights," 

Infosys (NYSE:INFY) reported its Q3 earnings results on Wednesday, January 12, 2022 at 06:00 AM.

Here&#39;s what investors need to know about the announcement."
10,INFY,2022-01-12T08:33:59Z,"Earnings Scheduled For January 12, 2022"," 

Companies Reporting Before The Bell

• Jefferies Financial Group (NYSE:JEF) is estimated to report quarterly earnings at $1.34 per share on revenue of $1.90 billion."
11,INFY,2022-01-11T15:26:35Z,Infosys Earnings Preview,"Infosys (NYSE:INFY) is set to give its latest quarterly earnings report on Wednesday, 2022-01-12. Here&#39;s what investors need to know before the announcement.
Analysts estimate that Infosys will likely report an Earnings Per Share (EPS) of $0.18. "
12,INFY,2022-01-10T15:05:39Z,"Benzinga's Top Ratings Upgrades, Downgrades For January 10, 2022", 
13,INFY,2022-01-10T14:47:02Z,Price To Earnings Ratio Insights For Infosys, 
14,INFY,2022-01-10T12:42:38Z,10 Biggest Price Target Changes For Monday,"
	Raymond James boosted the price target for  Prologis, Inc. (NYSE: PLD) from $155 to $180. Prologis shares fell 0.5% to $153.00 in pre-market trading.
"
15,INFY,2022-01-10T11:48:19Z,"Susquehanna Upgrades Infosys to Positive, Raises Price Target to $29",
16,INFY,2021-12-16T18:32:11Z,"Infy, Australian Open Extend Collaboration Until 2026",Infosys Ltd (NYSE: INFY) extended its 
17,INFY,2021-12-09T20:05:31Z,Infosys Equinox Partners With Highland Transcend Partners I Merger Partner Packable To Help Amplify Direct To Consumer E-commerce Offerings For Brand Partners,
18,INFY,2021-12-09T14:25:10Z,Infosys Equinox Collaborates With Packable,
19,INFY,2021-12-08T10:35:05Z,"Infosys BPM State-of-the-Art Delivery Center in Waterford, Ireland to Create 250 Jobs",
20,INFY,2021-12-07T10:40:30Z,Financial Times and Infosys Announced Strategic Digital Collaboration to Enhance Immersive Journalism,
21,INFY,2021-11-17T13:35:32Z,"Madison Square Garden Sports, Madison Square Garden Entertainment Report Marketing Partnership With Infosys, No Terms Disclosed",
22,INFY,2021-11-08T17:47:29Z,Infosys Shares Mark New Session Highs Up ~2.9% As Trader Jon Najarian Highlights Unusual Call Activity In Name,
23,INFY,2021-11-03T10:59:21Z,Infosys Earlier Announced Co. Collaborated With Shell To Market Shell Inventory Optimizer Solution,
24,INFY,2021-10-21T12:11:15Z,12 Information Technology Stocks Moving In Thursday's Pre-Market Session, 
25,INFY,2021-10-15T11:19:39Z,Infosys: Q2 Earnings Insights," 

Infosys(NYSE:INFY) stock rose by 0.26% on Thursday after the company reported its Q2 earnings results on Wednesday, October 13, 2021 at 06:30 AM.

Here&#39;s what investors need to know about the announcement."
26,INFY,2021-10-13T16:21:56Z,39 Stocks Moving In Wednesday's Mid-Day Session,"Gainers


	Jasper Therapeutics, Inc.  (NASDAQ: JSPR) shares jumped 113% to $15.36 after Oppenheimer initiated coverage on the stock with an Outperform rating and a $21 price target.
"
