,ticker,timestamp,headline,summary
0,LI,2022-02-10T14:52:04Z,Li Auto Option Alert: Feb 18 $30 Calls Sweep (26) near the Ask: 1035 @ $0.781 vs 2268 OI; Earnings 2/24 Before Open [est] Ref=$29.24,
1,LI,2022-02-10T07:42:35Z,Why Alibaba And Tesla Rival Xpeng Are Rising Today Even As Hang Seng Index Drifts Lower,"Shares of U.S.-listed Chinese tech companies traded mixed in Hong Kong on Thursday, while the benchmark Hang Seng Index drifted into negative territory. "
2,LI,2022-02-09T04:26:29Z,"Why Alibaba, Tesla Rival Xpeng And Other Tech Stocks Are Shooting Up In Hong Kong Today","Shares of U.S.-listed Chinese tech companies traded notably higher in Hong Kong on Wednesday, lifting the benchmark Hang Seng Index firmly into positive territory. "
3,LI,2022-02-09T03:05:47Z,Tesla Rival Xpeng Says Investor Reach To Increase In China As Its Stock Gets Included In Stock Connect Program,"Xpeng Inc (NYSE: XPEV) said on Tuesday its ordinary shares, which trade on The Stock Exchange of Hong Kong Limited (HKEX), have been included in the Shenzhen-Hong Kong Stock Connect program and would help lift investor reach."
4,LI,2022-02-08T15:05:09Z,"Benzinga's Top Ratings Upgrades, Downgrades For February 8, 2022", 
5,LI,2022-02-08T14:29:46Z,"Thinking About Buying Stock In Nio, Xpeng, Li Auto Or Meta Platforms?",One of the most common questions traders have about stocks is “Why Is It Moving?”
6,LI,2022-02-08T11:10:55Z,"Barclays Initiates Coverage On Li Auto with Overweight Rating, Announces Price Target of $32",
7,LI,2022-02-08T04:31:37Z,Why Alibaba And Tech Peers Are Extending Losses In Hong Kong Today,"Shares of U.S.-listed Chinese tech companies traded notably lower in Hong Kong on Tuesday, dragging the benchmark Hang Seng Index into negative territory. "
8,LI,2022-02-07T13:57:29Z,12 Consumer Discretionary Stocks Moving In Monday's Pre-Market Session, 
9,LI,2022-02-07T05:01:13Z,Why Alibaba's Shares Are Sliding In Hong Kong Today While Tesla Chinese Rivals Strike Gains,"Shares of U.S.-listed Chinese tech companies traded mixed in Hong Kong on Monday, while Alibaba Group Holding Limited’s (NYSE: BABA) fall weighed on the benchmark Hang Seng Index.  "
10,LI,2022-02-05T13:52:28Z,"EV Week In Review: Tesla Revs Up Supply Chain, Volkswagen Underlines China Thrust, Ford-GM Hint At Faster EV Transition, Fisker Bound For Europe And More","EV stocks rebounded following the weakness seen in the previous two weeks, thanks to the broader market recovery amid big tech news flow. The week witnessed monthly delivery updates from the Chinese EV trio, earnings reports from the Detroit duo, both of which are seriously pursuing EV transitions.

Here are the key events that happened in the EV space during the week:"
11,LI,2022-02-04T12:23:03Z,Cathie Wood Buys $2M Worth More Of This US Listed Chinese EV Player And Sells PayPal On Thursday,Cathie Wood-led Ark Investment Management on Thursday further raised its exposure in the U.S.
12,LI,2022-02-04T05:27:07Z,"Why Alibaba And Tesla Rivals Xpeng, Li Auto Are Shooting Up In Hong Kong Today",Shares of U.S.-listed Chinese tech companies surged in Hong Kong on Friday as the market resumed trading after the Lunar New Year holidays.
13,LI,2022-02-03T16:07:49Z,"This Warren Buffett-Backed Chinese EV Maker Easily Outsold Nio, Xpeng, Li Auto Combined In January",Chinese automaker BYD Company Limited (OTC: BYDDF) reported Wednesday that it had strong electric vehicle deliveries for January.
14,LI,2022-02-03T04:17:39Z,Cathie Wood Loads Up More Shares In Tesla And This Rival Chinese EV Maker On Wednesday,Cathie Wood-led Ark Investment Management on Wednesday further raised its electric vehicle exposure as it bought shares in Tesla Inc (NASDAQ: TSLA) and the U.S.
15,LI,2022-02-02T17:44:22Z,10 Consumer Discretionary Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
16,LI,2022-02-02T15:19:09Z,Nio Analyst Predicts Over 200% Upside For Stock: 'EV Maker Has Clear Growth Prospects In 2022',"Nio, Inc.&#39;s (NYSE: NIO) January deliveries,  though fairly robust, came in below the numbers of its U.S.-listed Chinese peers XPeng, Inc."
17,LI,2022-02-02T04:25:06Z,Cathie Wood Continues Buying-Spree In Tesla And This Rival Chinese Automaker,Cathie Wood-led Ark Investment Management on Tuesday further raised its exposure in Tesla Inc (NASDAQ: TSLA) and the U.S. listed Chinese electric vehicle maker Xpeng Inc (NYSE: XPEV).
18,LI,2022-02-01T11:24:14Z,Cathie Wood Buys $39.5M In Tesla Shares On Monday — Also Loads Up In This Chinese EV Rival,"Cathie Wood-led Ark Investment Management on Monday further raised its exposure in Tesla Inc (NASDAQ: TSLA) and Xpeng Inc (NYSE: XPEV), doubling down eff"
19,LI,2022-02-01T10:16:39Z,A Peek Into The Markets: US Stock Futures Edge Lower Following Monday's Surge; Alphabet Earnings in Focus,Pre-open movers
20,LI,2022-02-01T09:28:19Z,"Tesla Rival Xpeng's January Deliveries Outshine Those Of Rivals Nio, Li Auto: What You Need To Know",Xpeng Inc (NYSE: XPEV) on Tuesday outshone delivery numbers of close local rivals Nio Inc (NYSE: NIO) and Li Auto Inc (NASDAQ: LI&lt;/
21,LI,2022-02-01T09:06:05Z,Li Auto Poses 13% Sequential Drop During Slow-Sales Month But Outdoes Rival Nio In January,Li Auto Inc (NASDAQ: LI) on Tuesday outshone delivery numbers of close rival Nio Inc (NYSE: NIO) in January even as the two U.S.
22,LI,2022-02-01T08:16:42Z,Nio Deliveries Fall 8% Sequentially In January With Lunar New Year Holidays: What You Need To Know,U.S.-listed Chinese electric vehicle maker Nio Inc (NYSE: NIO) said on Tuesday deliveries fell in January over the previously month — ahead of the traditionally slow-sales season around the Lunar New Year. China New Year Holiday starts on Jan. 31 and lasts till Feb. 6 this year.
23,LI,2022-01-31T08:14:17Z,"Xpeng Expected To Deliver 13,000 Electric Vehicles In January: Report","U.S.-listed Chinese electric vehicle maker Xpeng Inc (NYSE: XPEV) is expected to deliver 13,000 units in January, cnEVpost reported on Sunday, c"
24,LI,2022-01-31T03:54:36Z,Why Alibaba And Other Tech Stocks Are Rising In Hong Kong Today Despite Weak China Data,"Shares of U.S.-listed Chinese tech companies rose in Hong Kong on Monday, lifting the benchmark Hang Seng Index into positive territory after two straight days of losses.

Why Is It Moving? The Hang Seng Index was up almost 1.5% in a truncated session at the time of writing, amid optimism about further policy easing by Beijing."
25,LI,2022-01-28T05:18:04Z,Why Alibaba Is Rising Today Even As Tech Peers Extend Losses In Hong Kong,"Shares of U.S.-listed Chinese tech companies — with the exception of Alibaba Group Holding Limited (NYSE: BABA) — extended losses in Hong Kong on Friday, dragging the benchmark Hang Seng Index into negative territory for a second straight day."
