,ticker,timestamp,headline,summary
0,LRCX,2022-01-31T17:59:27Z,"Here's Why Piper Sandler Considers DRAM Pricing ""Slightly Negative"" For Micron And Others","
"
1,LRCX,2022-01-31T17:36:48Z,"On CNBC: Joe Terranova Says Sells Lam Research, Interactive Broker",
2,LRCX,2022-01-27T17:02:08Z,How Is The Market Feeling About Lam Research Corporation?,"Lam Research Corporation&#39;s (NASDAQ:LRCX) short percent of float has fallen 6.34% since last its last report. The company recently reported that it has 1.86 million shares sold short, which is 1.33% of all regular shares that are available for trading."
3,LRCX,2022-01-27T16:41:08Z,Why Lam Research Shares Are Falling,Lam Research Corporation (NASDAQ: LRCX) shares are trading lower after the company reported mixed second-quarter earnings results and issued third-quarter EPS guidance below estimates.
4,LRCX,2022-01-27T14:19:37Z,What 7 Analyst Ratings Have To Say About Lam Research,"Within the last quarter, Lam Research (NASDAQ:LRCX) has observed the following analyst ratings: "
5,LRCX,2022-01-27T14:02:32Z,"Benzinga Pro's Top 5 Stocks To Watch For Thursday, Jan. 27, 2022: XLNX, ARDS, LRCX, HOOD, WDC","Today&#39;s 5 Stock Ideas:


	
	Xilinx (XLNX) - Shares up premarket. The company reported Q3 earnings results. A Reuters report titled &#39;China conditionally approves AMD&#39;s $35 bln deal for Xilinx&#39; is also"
6,LRCX,2022-01-27T13:14:52Z,12 Information Technology Stocks Moving In Thursday's Pre-Market Session, 
7,LRCX,2022-01-27T13:03:09Z,"Morgan Stanley Maintains Overweight on Lam Research, Lowers Price Target to $730",
8,LRCX,2022-01-27T12:25:29Z,10 Biggest Price Target Changes For Thursday,"
	Keybanc boosted  Oshkosh Corporation (NYSE: OSK) price target from $125 to $130. Oshkosh shares rose 0.6% to $116.70 in pre-market trading.
"
9,LRCX,2022-01-27T12:07:55Z,"Deutsche Bank Maintains Hold on Lam Research, Lowers Price Target to $650",
10,LRCX,2022-01-27T11:38:42Z,"Barclays Maintains Overweight on Lam Research, Lowers Price Target to $700",
11,LRCX,2022-01-27T09:36:15Z,"Piper Sandler Maintains Neutral on Lam Research, Raises Price Target to $627",
12,LRCX,2022-01-26T22:30:13Z,12 Information Technology Stocks Moving In Wednesday's After-Market Session,"Gainers

Blackboxstocks (NASDAQ:BLBX) stock rose 13.7% to $2.33 during Wednesday&#39;s after-market session. The company&#39;s market cap stands at $30.1 million. 
"
13,LRCX,2022-01-26T21:27:26Z,"Lam Research Sees Q3 EPS $7.45 +/- $0.75 Vs. $8.72 Est., Sales $4.25B +/- $300M Vs. $4.49B Est.",
14,LRCX,2022-01-26T21:25:29Z,"Lam Research Q2 EPS $8.53 Beats $8.51 Estimate, Sales $4.23B Miss $4.41B Estimate",
15,LRCX,2022-01-26T21:19:01Z,Lam Research: Q2 Earnings Insights,"Lam Research (NASDAQ:LRCX) reported its Q2 earnings results on Wednesday, January 26, 2022 at 04:05 PM.

Here&#39;s what investors need to know about the announcement."
16,LRCX,2022-01-26T15:03:59Z,"Benzinga's Top Ratings Upgrades, Downgrades For January 26, 2022","Upgrades
"
17,LRCX,2022-01-26T09:40:49Z,Keybanc Initiates Coverage On Lam Research with Sector Weight Rating,
18,LRCX,2022-01-26T08:59:16Z,"Earnings Scheduled For January 26, 2022"," 

Companies Reporting Before The Bell

• Blue Foundry (NASDAQ:BLFY) is projected to report earnings for its fourth quarter."
19,LRCX,2022-01-25T18:01:31Z,What Are Whales Doing With Lam Research,"Someone with a lot of money to spend has taken a bearish stance on Lam Research (NASDAQ:LRCX).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
20,LRCX,2022-01-25T17:53:25Z,On CNBC: Stephanie Link Says Sold Lam Research,
21,LRCX,2022-01-25T15:08:07Z,Earnings Preview For Lam Research,"Lam Research (NASDAQ:LRCX) is set to give its latest quarterly earnings report on Wednesday, 2022-01-26. Here&#39;s what investors need to know before the announcement.
Analysts estimate that Lam Research will likely report an Earnings Per Share (EPS) of $8.51. "
22,LRCX,2022-01-24T15:11:52Z,Shares of several companies in the broader technology sector are trading lower on a continued market sell-off.,
23,LRCX,2022-01-21T17:05:08Z,What Are Whales Doing With Lam Research,"A whale with a lot of money to spend has taken a noticeably bullish stance on Lam Research.
Looking at options history for Lam Research (NASDAQ:LRCX) we detected 14 strange trades."
24,LRCX,2022-01-20T18:19:05Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
25,LRCX,2022-01-19T20:09:18Z,"Why Applied Materials, Lam Research, Nvidia And Qualcomm Shares Are Falling Today","Shares of companies in the semiconductor sector, including Applied Materials, Inc. (NASDAQ: AMAT), Lam Research Corporation (NASDAQ: LRCX), NVIDIA Corporation (NASDAQ: "
26,LRCX,2022-01-18T12:10:12Z,5 Stocks Insiders Are Selling,"When insiders sell shares, it indicates their concern in the company’s prospects or that they view the stock as being overpriced. Either way, this signals an opportunity to go short on the stock. Insider sales should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a selling decision."
27,LRCX,2022-01-14T12:16:10Z,"CNBC's Final Trades: Visa, CME Group, Lam Research And This Media Top Pick","On CNBC’s “Halftime Report Final Trades,” Karen Firestone of Aureus Asset Management named Visa Inc (NYSE: V) as her pick."
28,LRCX,2022-01-13T18:00:36Z,"Final Trades From CNBC's 'Fast Money: Halftime Report': Visa, ViacomCBS, CME Group, Lam Research",
29,LRCX,2022-01-13T15:43:27Z,Lam Research Whale Trades Spotted,"Someone with a lot of money to spend has taken a bullish stance on Lam Research (NASDAQ:LRCX).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
30,LRCX,2022-01-11T21:15:38Z,(LRCX) - Analyzing Lam Research Corporation's Short Interest,"Lam Research Corporation&#39;s (NASDAQ:LRCX) short percent of float has fallen 3.4% since last its last report. The company recently reported that it has 1.99 million shares sold short, which is 1.42% of all regular shares that are available for trading."
