,ticker,timestamp,headline,summary
0,MANH,2022-02-07T13:38:25Z,Manhattan Associates Announces PLUSIs  Operating Manhattan's Transportation Management System,
1,MANH,2022-02-02T12:17:39Z,"Rosenblatt Maintains Buy on Manhattan Associates, Lowers Price Target to $165",
2,MANH,2022-02-01T21:21:35Z,Manhattan Associates: Q4 Earnings Insights,"Manhattan Associates (NASDAQ:MANH) reported its Q4 earnings results on Tuesday, February 1, 2022 at 04:00 PM.

Here&#39;s what investors need to know about the announcement."
3,MANH,2022-02-01T21:19:34Z,"Manhattan Associates Sees FY22 EPS $1.98-$2.10 Vs. $2.02 Est., Sales $700M-$715M Vs. $708.05M Est.",
4,MANH,2022-02-01T21:18:10Z,"Manhattan Associates Q4 EPS $0.48 Beats $0.39 Estimate, Sales $171.49M Beat $162.84M Estimate",
5,MANH,2022-01-31T15:37:29Z,Manhattan Associates's Earnings Outlook,"Manhattan Associates (NASDAQ:MANH) is set to give its latest quarterly earnings report on Tuesday, 2022-02-01. Here&#39;s what investors need to know before the announcement.
Analysts estimate that Manhattan Associates will likely report an Earnings Per Share (EPS) of $0.39. "
6,MANH,2021-12-08T13:35:32Z,"Manhattan Associates Reports Asda Selected Co.'s Active Warehouse Mgmt. For Its Supply Chain, No Terms Disclosed",
7,MANH,2021-10-27T11:47:32Z,"'Halftime Report' Final Trades: Mattel, CVS, And More","The “Halftime Report Final Trades,” Degas Wright of Decatur Capital Management said he expects Manhattan Associates, Inc. (NASDAQ: MANH) to be able to solve the bottleneck in the supply chain."
8,MANH,2021-10-26T22:49:57Z,Manhattan Associates: Q3 Earnings Insights,"Manhattan Associates (NASDAQ:MANH) reported its Q3 earnings results on Tuesday, October 26, 2021 at 04:00 PM.

Here&#39;s what investors need to know about the announcement.

Earnings

Manhattan Associates beat their estimated earnings by 31.48%, which surprised analysts."
9,MANH,2021-10-26T20:40:40Z,"Manhattan Associates Q3 Adj. EPS $0.71 Beats $0.54 Estimate, Sales $169.19M Beat $164.23M Estimate",
10,MANH,2021-10-26T17:00:45Z,"CNBC 'Fast Money: Halftime Report' Final Trades: Mattel, Manhattan Associates, CrowdStrike, CVS",
