,ticker,timestamp,headline,summary
0,NOVT,2021-11-10T16:50:27Z,How Bad Are Novanta's Earnings? | Return On Capital Employed," According to Benzinga Pro data Novanta (NASDAQ:NOVT) posted a 4.48% decrease in earnings from Q2. Sales, however, increased by 6.09% over the previous quarter to $177.73 million."
1,NOVT,2021-11-09T12:11:25Z,Novanta Sees Q4 2021 GAAP Revenue $185M-$195M Vs $187.61M Est; Sees FY21 Revenue $693M-$703M Vs $689.89M Est,
2,NOVT,2021-11-09T12:06:32Z,Novanta Raises Guidance,
3,NOVT,2021-11-09T12:06:12Z,"Novanta Q3 EPS $0.75 Beats $0.60 Estimate, Sales $177.70M Beat $172.06M Estimate",
4,NOVT,2021-11-09T09:41:22Z,"Earnings Scheduled For November 9, 2021"," 

Companies Reporting Before The Bell

• Imara (NASDAQ:IMRA) is projected to report earnings for its third quarter.

• KT (NYSE:KT) is projected to report earnings for its third quarter."
5,NOVT,2021-08-31T20:18:25Z,"Novanta Sees FY21 Adj. EPS $2.40-$2.50 vs $2.38 Estimate, Sales $685M-$700M vs $667.8M Est., Adj. EBITDA $145M-$148M",
6,NOVT,2021-08-10T19:32:49Z,"Novanta Q2 Result Tops Estimates, Raises FY21 Outlook","
"
7,NOVT,2021-08-10T11:08:28Z,Novanta: Q2 Earnings Insights," 

Shares of Novanta (NASDAQ:NOVT) remained unaffected after the company reported Q2 results.

Quarterly Results

Earnings per share increased 29.17% over the past year to $0.62, which beat the estimate of $0.51."
8,NOVT,2021-08-10T11:01:22Z,"Novanta Sees Q3 Sales $165M-$170M vs. $163.21M Est., FY21 Sales $660M-$670M Vs. $656.68M est.",
9,NOVT,2021-08-10T10:59:53Z,"Novanta Q2 EPS $0.62 Beats $0.51 Estimate, Sales $168.00M Beat $164.32M Estimate",
10,NOVT,2021-08-10T08:05:07Z,"Earnings Scheduled For August 10, 2021"," 

Companies Reporting Before The Bell

• Nautilus Biotechnology (NASDAQ:NAUT) is expected to report earnings for its second quarter."
11,NOVT,2021-07-19T13:13:33Z,Novanta To Acquire ATI For $172M Cash Plus Earnout,"
"
12,NOVT,2021-07-19T12:05:29Z,Novanta Announces Agreement to Acquire ATI For $172M Upfront In Cash And Additional Contingent Cash Payments Associated With 2021 Financial Performance,
13,NOVT,2021-07-12T12:43:42Z,Novanta To Acquire Schneider Electric Motion USA For $115M Cash,"
"
14,NOVT,2021-07-12T12:00:58Z,Novanta Announces Agreement to Acquire Schneider Electric Motion USA For $115M In Cash,
15,NOVT,2021-06-17T13:58:08Z,Novanta: Return On Capital Employed Insights,"Novanta (NASDAQ:NOVT) posted a 34.98% decrease in earnings from Q4. Sales, however, increased by 10.23% over the previous quarter to $162.58 million. Despite the increase in sales this quarter, the decrease in earnings may suggest Novanta is not utilizing their capital as effectively as possible."
16,NOVT,2021-06-02T13:52:55Z,Return On Capital Employed Overview: Novanta,"Novanta (NASDAQ:NOVT) showed a loss in earnings since Q4, totaling $11.10 million. Sales, on the other hand, increased by 10.23% to $162.58 million during Q1. Novanta reached earnings of $17.07 million and sales of $147.50 million in Q4. "
17,NOVT,2021-05-11T18:09:45Z,"Novanta Stock Is Trading Higher On Q1 Earnings Beat, Strong Guidance","
"
18,NOVT,2021-05-11T15:02:32Z,Looking Into Novanta's Return On Capital Employed,"Novanta (NASDAQ:NOVT) showed a loss in earnings since Q4, totaling $11.10 million. Sales, on the other hand, increased by 10.23% to $162.58 million during Q1. Novanta reached earnings of $17.07 million and sales of $147.50 million in Q4. "
19,NOVT,2021-05-11T11:27:24Z,Novanta: Q1 Earnings Insights," 

Shares of Novanta (NASDAQ:NOVT) remained unaffected after the company reported Q1 results.

Quarterly Results

Earnings per share were up 13.73% year over year to $0.58, which beat the estimate of $0.39."
20,NOVT,2021-05-11T11:15:17Z,"Novanta Sees Q1 Adj. EPS $0.49-$0.53 vs $0.50 Est., Sales $162M-$165M vs $158.55M Est.; Sees FY21 Adj. EPS $2.04-$2.19 vs $2.11 Est., Sales $645M-$655M vs $644.35M Est.",
21,NOVT,2021-05-11T11:12:05Z,"Novanta Q1 Adj. EPS $0.58 Beats $0.39 Estimate, Sales $163.00M Beat $156.28M Estimate",
22,NOVT,2021-05-11T08:13:50Z,"Earnings Scheduled For May 11, 2021"," 

Companies Reporting Before The Bell

• Oxford Lane Capital (NASDAQ:OXLC) is estimated to report earnings for its fourth quarter."
23,NOVT,2021-05-10T14:10:42Z,A Preview Of Novanta's Earnings,"Novanta (NASDAQ:NOVT) announces its next round of earnings this Tuesday, May 11. Here is Benzinga&#39;s look at Novanta&#39;s Q1 earnings report. "
24,NOVT,2021-03-23T20:19:57Z,Novanta Appoints Matthijs Glastra Chairman Of Board Of Directors,
25,NOVT,2021-03-01T12:19:23Z,Novanta: Q4 Earnings Insights," 

Shares of Novanta (NASDAQ:NOVT) remained unaffected after the company reported Q4 results.

Quarterly Results

Earnings per share decreased 3.64% over the past year to $0.53, which beat the estimate of $0.44."
26,NOVT,2021-03-01T12:03:36Z,Novanta Sees Q1 Adj EPS $0.35-0.39 vs $0.48 Est; Sees Sales $155.000M-157.000M vs $151.00M Est,
27,NOVT,2021-03-01T12:01:37Z,"Novanta Q4 EPS $0.53 Beats $0.44 Estimate, Sales $147.50M Beat $147.05M Estimate",
28,NOVT,2021-03-01T08:51:22Z,"Earnings Scheduled For March 1, 2021"," 

Companies Reporting Before The Bell

• Athenex (NASDAQ:ATNX) is likely to report quarterly loss at $0.44 per share on revenue of $20.71 million."
29,NOVT,2021-02-26T15:12:14Z,A Preview Of Novanta's Earnings,"Novanta (NASDAQ:NOVT) releases its next round of earnings this Monday, March 01. Here is Benzinga&#39;s essential guide to Novanta&#39;s Q4 earnings report."
30,NOVT,2021-02-12T15:09:14Z,52 Weeks High Article 0.004831689889895241," 

Stocks That Hit 52-Week Highs On Friday

Before 10 a.m. ET on Friday, 202 companies set new 52-week highs."
31,NOVT,2021-02-10T15:23:13Z,Stocks That Hit 52-Week Highs On Wednesday," 

 

This morning 533 companies reached new 52-week highs."
32,NOVT,2021-02-09T17:54:24Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

On Tuesday, 596 companies set new 52-week highs."
33,NOVT,2021-02-08T15:34:01Z,Stocks That Hit 52-Week Highs On Monday," 

 

Monday morning saw 558 companies set new 52-week highs."
34,NOVT,2021-01-14T17:18:27Z,Stocks That Hit 52-Week Highs On Thursday," 

 

Before 10 a.m. ET Thursday, 503 stocks hit new 52-week highs."
35,NOVT,2021-01-12T15:09:01Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

On Tuesday morning, 323 companies hit new 52-week highs."
36,NOVT,2021-01-08T15:22:53Z,Stocks That Hit 52-Week Highs On Friday," 

 

This morning 470 companies set new 52-week highs."
37,NOVT,2020-11-13T16:32:42Z,"Berenberg Initiates Coverage On Novanta with Hold Rating, Announces Price Target of $109",
38,NOVT,2020-11-11T21:40:27Z,12 Technology Stocks Moving In Wednesday's After-Market Session,"Gainers

"
39,NOVT,2020-11-10T12:33:49Z,Recap: Novanta Q3 Earnings," 

Shares of Novanta (NASDAQ:NOVT) rose 0.8% in pre-market trading after the company reported Q3 results.

Quarterly Results

Earnings per share were down 20.75% over the past year to $0.42, which beat the estimate of $0.39."
40,NOVT,2020-11-10T12:00:55Z,Novanta Sees Q4 Sales $144M-$149M vs $149.52M Est.,
41,NOVT,2020-11-10T11:59:56Z,"Novanta Q3 Adj. EPS $0.42 Beats $0.39 Estimate, Sales $143.00M Beat $141.35M Estimate",
42,NOVT,2020-11-10T09:06:01Z,"Earnings Scheduled For November 10, 2020"," 

Companies Reporting Before The Bell

• Advance Auto Parts (NYSE:AAP) is projected to report quarterly earnings at $2.66 per share on revenue of $2.48 billion."
43,NOVT,2020-11-09T17:24:29Z,Stocks That Hit 52-Week Highs On Monday," 

During Monday&#39;s morning session, 460 companies made new 52-week highs."
44,NOVT,2020-11-06T16:15:18Z,Stocks That Hit 52-Week Highs On Friday," 

During the morning session on Friday, 177 stocks hit new 52-week highs."
45,NOVT,2020-08-06T18:17:27Z,Stocks That Hit 52-Week Highs On Thursday,Thursday&#39;s morning session saw 227 companies set new 52-week highs.
46,NOVT,2020-08-06T12:43:21Z,Novanta Sees Q3 Sales $135.000M-142.000M vs $126.31M Est,
47,NOVT,2020-08-06T12:43:04Z,"Novanta Q2 Adj. EPS $0.48 Beats $0.23 Estimate, Sales $144.73M Beat $138.11M Estimate",
48,NOVT,2020-06-03T14:45:20Z,Stocks That Hit 52-Week Highs On Wednesday,"On Wednesday, 109 companies set new 52-week highs."
49,NOVT,2020-06-02T14:33:40Z,Stocks That Hit 52-Week Highs On Tuesday,"On Tuesday, 95 companies set new 52-week highs."
