,ticker,timestamp,headline,summary
0,OKTA,2022-01-28T12:07:55Z,Okta Appoints Brett Tighe As Chief Financial Officer,
1,OKTA,2022-01-26T14:55:58Z,"Shares of companies in the software space were trading higher, rebounding from recent weakness amid a rise in yields and concerns over fed tapering, which has caused volatility in the sector. Stronger-than-expected Q4 earnings results from Microsoft have also helped lift the sector.",
2,OKTA,2022-01-18T20:03:18Z,Analyst Ratings For Okta,Okta (NASDAQ:OKTA) has observed the following analyst ratings within the last quarter: 
3,OKTA,2022-01-18T15:34:49Z,"Morgan Stanley Maintains Overweight on Okta, Lowers Price Target to $270",
4,OKTA,2022-01-10T21:31:59Z,12 Information Technology Stocks Moving In Monday's After-Market Session,"Gainers

"
5,OKTA,2022-01-06T17:14:13Z,Stocks That Hit 52-Week Lows On Thursday," 

 

On Thursday, 615 stocks hit new 52-week lows."
6,OKTA,2022-01-06T16:18:41Z,Why Wells Fargo Is Bullish On Okta,"Okta Inc (NASDAQ: OKTA) is likely to generate growth at or above 35% for the foreseeable future given its comprehensive identity security platform, according to Wells Fargo."
7,OKTA,2022-01-06T15:06:36Z,"Benzinga's Top Ratings Upgrades, Downgrades For January 6, 2022", 
8,OKTA,2022-01-06T10:08:52Z,"Wells Fargo Initiates Coverage On Okta with Overweight Rating, Announces Price Target of $275",
9,OKTA,2022-01-04T17:42:32Z,10 Information Technology Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.

Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
10,OKTA,2021-12-27T11:11:36Z,Wolfe Research's Top Software Picks For 2022,"
"
11,OKTA,2021-12-03T12:08:12Z,"Deutsche Bank Maintains Buy on Okta, Lowers Price Target to $250",
12,OKTA,2021-12-03T10:04:27Z,61 Biggest Movers From Yesterday,"Gainers


	Jowell Global Ltd. (NASDAQ: JWEL) jumped 25.5% to close at $13.36. Jowell Global recently announced a collaboration with Unilever&#39;s Uni-Excubator.
"
13,OKTA,2021-12-02T18:30:24Z,11 Information Technology Stocks Moving In Thursday's Intraday Session, 
14,OKTA,2021-12-02T17:05:56Z,40 Stocks Moving In Thursday's Mid-Day Session,"Gainers


	Biofrontera Inc. (NASDAQ: BFRI) surged 39% to $6.02. Biofrontera announced Notice of Allowance for U.S. patent titled &#39;Illumination for Photodynamic Therapy.&#39;
"
15,OKTA,2021-12-02T16:22:01Z,"Benzinga's Top Ratings Upgrades, Downgrades For December 2, 2021", 
16,OKTA,2021-12-02T16:20:14Z,Why Okta Shares Are Rising Today,Okta Inc (NASDAQ: OKTA) is trading higher Thursday after the company announced better-than-expected third-quarter financial results and issued guidance above estimates.
17,OKTA,2021-12-02T16:12:50Z,What 6 Analyst Ratings Have To Say About Okta,Analysts have provided the following ratings for Okta (NASDAQ:OKTA) within the last quarter: 
18,OKTA,2021-12-02T16:09:37Z,Analysts Continue To See Sharp Upside In Okta Despite Cutting Price Targets,Analysts reiterated ratings on 
19,OKTA,2021-12-02T15:36:48Z,Okta's Return On Capital Employed Insights,"According to Benzinga Pro data, during Q3, Okta (NASDAQ:OKTA) posted sales of $350.68 million. Earnings were up 24.63%, but Okta still reported an overall loss of $198.56 million."
20,OKTA,2021-12-02T15:12:39Z,"Mizuho Maintains Neutral on Okta, Lowers Price Target to $250",
21,OKTA,2021-12-02T13:45:08Z,"Morgan Stanley Maintains Overweight on Okta, Lowers Price Target to $300",
22,OKTA,2021-12-02T12:44:08Z,"BMO Capital Maintains Outperform on Okta, Lowers Price Target to $270",
23,OKTA,2021-12-02T09:49:03Z,"Piper Sandler Upgrades Okta to Overweight, Raises Price Target to $270",
24,OKTA,2021-12-01T23:02:58Z,Recap: Okta Q3 Earnings,"Okta (NASDAQ:OKTA) reported its Q3 earnings results on Wednesday, December 1, 2021 at 04:00 PM.

Here&#39;s what investors need to know about the announcement."
25,OKTA,2021-12-01T21:31:58Z,12 Information Technology Stocks Moving In Wednesday's After-Market Session,"Gainers

II-VI (NASDAQ:IIVIP) stock rose 5.53% to $259.39 during Wednesday&#39;s after-market session. 
"
26,OKTA,2021-12-01T21:04:01Z,"Okta Sees Q4 Adj. EPS $(0.25)-$(0.24) vs $(0.28) Est., Sales $358M-$360M vs $354.79M Est.; Sees FY22 Adj. EPS $(0.53)-$(0.52) vs $(0.74) Est., Sales $1.275B-$1.277B vs $1.25B Est.",
27,OKTA,2021-12-01T21:02:04Z,"Okta Q3 Adj. EPS $(0.07) Beats $(0.24) Estimate, Sales $351.00M Beat $327.00M Estimate",
28,OKTA,2021-12-01T09:21:35Z,"Earnings Scheduled For December 1, 2021"," 

Companies Reporting Before The Bell

• BRP (NASDAQ:DOOO) is estimated to report quarterly earnings at $1.08 per share on revenue of $1.35 billion."
29,OKTA,2021-11-30T15:32:55Z,Earnings Outlook For Okta,"Okta (NASDAQ:OKTA) is set to give its latest quarterly earnings report on Wednesday, 2021-12-01. Here&#39;s what investors need to know before the announcement.
Analysts estimate that Okta will likely report an Earnings Per Share (EPS) of $-0.24. "
30,OKTA,2021-11-19T14:31:38Z,Notable Calls Twitter Account Says Sell-Side Shop Checks Showed Okta Business Slowed At Quarter End,
31,OKTA,2021-11-18T16:37:28Z,Expert Ratings For Okta,Okta (NASDAQ:OKTA) has observed the following analyst ratings within the last quarter: 
32,OKTA,2021-11-18T15:19:52Z,"Benzinga's Top Ratings Upgrades, Downgrades For November 18, 2021","Upgrades
"
33,OKTA,2021-11-18T12:37:28Z,"DA Davidson Initiates Coverage On Okta with Buy Rating, Announces Price Target of $315",
34,OKTA,2021-11-02T12:01:42Z,BlackBerry Reports Technology Integration With Co.'s Spark And Okta's Identity Cloud,
35,OKTA,2021-10-13T13:05:34Z,Okta Reports Availability Of Okta Workflows As Standalone Offering For All Customers,
36,OKTA,2021-10-12T21:47:20Z,12 Information Technology Stocks Moving In Tuesday's After-Market Session,"Gainers

DatChat (NASDAQ:DATS) shares moved upwards by 4.93% to $15.75 during Tuesday&#39;s after-market session. The market value of their outstanding shares is at $271.6 million. 
"
37,OKTA,2021-09-28T16:28:40Z,"Why Morgan Stanley Believes Okta Has ""Clearer Skies Ahead""","With an expanding product portfolio, Okta Inc (NASDAQ: OKTA) is poised to gain a share in the growing market for identity and access management (IAM), estimated at $40 billion, according to Morgan Stanley."
