,ticker,timestamp,headline,summary
0,ROG,2021-12-14T15:22:29Z,"CJS Securities Downgrades Rogers to Market Perform, Announces $277 Price Target",
1,ROG,2021-11-04T14:20:04Z,"Benzinga's Top Ratings Upgrades, Downgrades For November 4, 2021"," Upgrades
"
2,ROG,2021-11-04T12:02:26Z,"Stifel Downgrades Rogers to Hold, Raises Price Target to $277",
3,ROG,2021-11-04T09:34:19Z,"Canaccord Genuity Downgrades Rogers to Hold, Raises Price Target to $277",
4,ROG,2021-11-03T14:02:20Z,"Benzinga's Top Ratings Upgrades, Downgrades For November 3, 2021", 
5,ROG,2021-11-03T10:44:05Z,Wolfe Research Downgrades Rogers to Peer Perform,
6,ROG,2021-11-03T07:33:44Z,71 Biggest Movers From Yesterday,"Gainers


	Avis Budget Group, Inc. (NASDAQ: CAR) shares climbed 108.3% to close at $357.17 on Tuesday after the company reported better-than-expected Q3 adjusted EPS and sales results and added $1 billion to its buyback.
"
7,ROG,2021-11-02T18:32:00Z,Mid-Afternoon Market Update: Dow Rises Around 150 Points; Semler Scientific Shares Slide,"Toward the end of trading Tuesday, the Dow traded up 0.42% to 36,063.98 while the NASDAQ rose 0.03% to 15,600.42. The S&amp;P also rose, gaining 0.28% to 4,626.45."
8,ROG,2021-11-02T16:59:40Z,11 Information Technology Stocks Moving In Tuesday's Intraday Session, 
9,ROG,2021-11-02T16:08:55Z,Mid-Day Market Update: Avis Budget Surges After Q3 Results; Chegg Shares Plunge,"Midway through trading Tuesday, the Dow traded up 0.23% to 35,997.66 while the NASDAQ rose 0.34% to 15,649.41. The S&amp;P also rose, gaining 0.36% to 4,630.05."
10,ROG,2021-11-02T16:06:13Z,51 Stocks Moving In Tuesday's Mid-Day Session,"Gainers


	Avis Budget Group, Inc.  (NASDAQ: CAR) surged 83.9% to $315.37 after the company reported better-than-expected Q3 adjusted EPS and sales results and added $1 billion to its buyback.
"
11,ROG,2021-11-02T11:58:09Z,DuPont To Acquire Rogers At 33% Premium,"
"
12,ROG,2021-11-02T10:27:53Z,Rogers Corporation Sees Q3 Adj. EPS $1.70-$1.85 vs $1.84 Est.,
13,ROG,2021-11-02T10:25:45Z,"Rogers Q3 Adj. EPS $1.64 Misses $1.78 Estimate, Sales $238.30M Miss $240.01M Estimate",
14,ROG,2021-11-02T10:24:45Z,DuPont Announces Acquisition Of Rogers Corporation For ~$5.2B In Cash; Rogers' Shareholders To Receive $277/Share In Cash,
15,ROG,2021-10-08T12:30:00Z,Rogers Announces Acquisition Of Silicone Engineering; Terms Not Disclosed,
16,ROG,2021-08-26T14:02:37Z,Stocks That Hit 52-Week Highs On Thursday," 

 

Before 10 a.m. ET on Thursday, 91 companies hit new 52-week highs."
17,ROG,2021-07-30T17:14:54Z,12 Information Technology Stocks Moving In Friday's Intraday Session," Gainers

"
18,ROG,2021-07-30T13:59:28Z,"Canaccord Genuity Maintains Buy on Rogers, Lowers Price Target to $233",
19,ROG,2021-07-29T20:57:39Z,"Rogers Corporation Sees Q3 Adj. EPS $1.70-$1.85 vs $1.96 Est., Sales $235M-$245M vs $240.58M Est.",
20,ROG,2021-07-29T20:56:55Z,"Rogers Q2 Adj. EPS $1.72 Misses $1.88 Estimate, Sales $234.90M Miss $235.74M Estimate",
21,ROG,2021-07-29T08:23:16Z,"Earnings Scheduled For July 29, 2021"," 

Companies Reporting Before The Bell

• Smith &amp; Nephew (NYSE:SNN) is projected to report earnings for its second quarter."
22,ROG,2021-06-10T14:03:20Z,"Benzinga's Top Ratings Upgrades, Downgrades For June 10, 2021", 
23,ROG,2021-06-10T10:45:01Z,Wolfe Research Initiates Coverage On Rogers with Outperform Rating,
24,ROG,2021-05-26T14:08:52Z,"Benzinga's Top Ratings Upgrades, Downgrades For May 26, 2021", 
25,ROG,2021-05-26T12:07:27Z,Rogers Announces Settlement Of Patent Infringement Lawsuits Against KCC,
26,ROG,2021-05-26T11:33:40Z,"Canaccord Genuity Initiates Coverage On Rogers with Buy Rating, Announces Price Target of $260",
27,ROG,2021-04-29T20:41:47Z,Recap: Rogers Q1 Earnings,"Shares of Rogers (NYSE:ROG) rose in after-market trading after the company reported Q1 results.

Quarterly Results

Earnings per share increased 108.70% year over year to $1.92, which beat the estimate of $1.79."
28,ROG,2021-04-29T20:40:42Z,Rogers Corp Sees Q2 Adj. EPS $1.80-$1.95 vs $1.80 Est.,
29,ROG,2021-04-29T20:38:55Z,"Rogers Q1 Adj. EPS $1.92 Beats $1.79 Estimate, Sales $229.26M Beat $220.00M Estimate",
30,ROG,2021-04-29T20:27:37Z,Rogers Names Ram Mayampurath CFO,
31,ROG,2021-04-28T15:03:46Z,Earnings Outlook for Rogers,"On Thursday, April 29, Rogers (NYSE:ROG) will release its latest earnings report. Here is Benzinga&#39;s outlook for the company. "
