,ticker,timestamp,headline,summary
0,SHOP,2022-02-09T15:21:39Z,Check Out What Whales Are Doing With SHOP,"A whale with a lot of money to spend has taken a noticeably bearish stance on Shopify.
Looking at options history for Shopify (NYSE:SHOP) we detected 26 strange trades."
1,SHOP,2022-02-09T15:18:06Z,"Morgan Stanley Maintains Equal-Weight on Shopify, Lowers Price Target to $1150",
2,SHOP,2022-02-07T18:45:49Z,10 Biggest Price Target Changes For Monday,"
	BMO Capital cut the price target for  Match Group, Inc. (NASDAQ: MTCH) from $150 to $130. Match Group shares fell 1.4% to trade at $114.33 on Monday.
"
3,SHOP,2022-02-07T17:14:55Z,Where Shopify Stands With Analysts,Analysts have provided the following ratings for Shopify (NYSE:SHOP) within the last quarter: 
4,SHOP,2022-02-07T15:07:31Z,"RBC Capital Maintains Outperform on Shopify, Lowers Price Target to $1450",
5,SHOP,2022-02-03T09:21:24Z,54 Biggest Movers From Yesterday,"Gainers


	MDJM Ltd (NASDAQ: MDJH) shares surged 35.6% to close at $2.44 on Wednesday after gaining 10% on Tuesday.
	GWG Holdings, Inc. (NASDAQ: GWGH) gained 31.6% to settle at $4.50.
"
6,SHOP,2022-02-02T17:05:42Z,33 Stocks Moving In Wednesday's Mid-Day Session,"Gainers


	MDJM Ltd (NASDAQ: MDJH) jumped 27.2% to $2.29 after gaining 10% on Tuesday.
"
7,SHOP,2022-02-02T15:33:58Z,Check Out What Whales Are Doing With SHOP,"Someone with a lot of money to spend has taken a bearish stance on Shopify (NYSE:SHOP).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
8,SHOP,2022-02-01T15:02:26Z,"Barclays Maintains Equal-Weight on Shopify, Lowers Price Target to $1200",
9,SHOP,2022-01-31T17:58:20Z,Why Shopify CEO Tobi Lütke Is Joining The Coinbase Board,Coinbase Global Inc. (NASDAQ: COIN) recently added the CEO of one of the largest e-commerce brands to its board.
10,SHOP,2022-01-31T15:28:43Z,Looking At Shopify's Recent Whale Trades,"Someone with a lot of money to spend has taken a bearish stance on Shopify (NYSE:SHOP).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
11,SHOP,2022-01-30T15:05:05Z,"Barron's Latest Picks And Pans: Netflix, Robinhood, Shopify, Visa And More","
	This weekend&#39;s Barron&#39;s cover story says investors are rushing to adapt to a turbulent year ahead, after the worst January since 2008.
	Other featured articles discuss why a streaming giant is ready for a comeback and concerns about the future of an online brokerage.
"
