,ticker,timestamp,headline,summary
0,SNOW,2022-02-08T16:03:52Z,Snowflake Whale Trades Spotted,"A whale with a lot of money to spend has taken a noticeably bullish stance on Snowflake.
Looking at options history for Snowflake (NYSE:SNOW) we detected 11 strange trades."
1,SNOW,2022-02-07T17:19:32Z,Here Are Two IT Stocks That Morgan Stanley Upgraded Today,"
"
2,SNOW,2022-02-07T16:09:55Z,Where Snowflake Stands With Analysts,"Over the past 3 months, 11 analysts have published their opinion on Snowflake (NYSE:SNOW) stock. These analysts are typically employed by large Wall Street banks and tasked with understanding a company&#39;s business to predict how a stock will trade over the upcoming year."
3,SNOW,2022-02-07T15:05:19Z,"Benzinga's Top Ratings Upgrades, Downgrades For February 7, 2022","Upgrades
"
4,SNOW,2022-02-07T14:40:15Z,Why Snowflake Shares Are Trading Higher Today,Snowflake Inc (NYSE: SNOW) is trading higher Monday morning following bullish analyst coverage from Morgan Stanley.
5,SNOW,2022-02-07T11:08:57Z,"Morgan Stanley Upgrades Snowflake to Overweight, Raises Price Target to $390",
6,SNOW,2022-01-31T15:39:14Z,Looking At Snowflake's Recent Whale Trades,"Someone with a lot of money to spend has taken a bullish stance on Snowflake (NYSE:SNOW).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
7,SNOW,2022-01-26T22:24:14Z,Looking Into Snowflake Inc. Class A Common Stock's Recent Short Interest,"Snowflake Inc. Class A Common Stock&#39;s (NYSE:SNOW) short percent of float has fallen 22.94% since last its last report. The company recently reported that it has 4.91 million shares sold short, which is 1.78% of all regular shares that are available for trading."
8,SNOW,2022-01-26T14:55:58Z,"Shares of companies in the software space were trading higher, rebounding from recent weakness amid a rise in yields and concerns over fed tapering, which has caused volatility in the sector. Stronger-than-expected Q4 earnings results from Microsoft have also helped lift the sector.",
9,SNOW,2022-01-25T22:20:17Z,12 Information Technology Stocks Moving In Tuesday's After-Market Session,"Gainers

Datasea (NASDAQ:DTSS) shares moved upwards by 6.0% to $1.23 during Tuesday&#39;s after-market session. The company&#39;s market cap stands at $29.5 million. 
"
10,SNOW,2022-01-25T16:03:02Z,Check Out What Whales Are Doing With SNOW,"A whale with a lot of money to spend has taken a noticeably bearish stance on Snowflake.
Looking at options history for Snowflake (NYSE:SNOW) we detected 24 strange trades."
11,SNOW,2022-01-25T15:03:14Z,"Benzinga's Top Ratings Upgrades, Downgrades For January 25, 2022","Upgrades
"
12,SNOW,2022-01-25T14:04:25Z,Snowflake Announces Support For ITAR Compliance On Microsoft Azure Government And AWS GovCloud,
13,SNOW,2022-01-25T12:46:21Z,"Loop Capital Upgrades Snowflake to Buy, Announces $370 Price Target",
14,SNOW,2022-01-24T18:16:12Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
15,SNOW,2022-01-20T19:40:53Z,Check Out What Whales Are Doing With SNOW,"A whale with a lot of money to spend has taken a noticeably bullish stance on Snowflake.
Looking at options history for Snowflake (NYSE:SNOW) we detected 23 strange trades."
16,SNOW,2022-01-19T15:13:57Z,"Shares of software companies were trading higher following a drop in the 10-year Treasury yield, which has helped lift growth stock valuations. The strength is also in sympathy with the broader market as stocks rebound following strong earnings reports from several companies, which has lifted sentiment.",
17,SNOW,2022-01-18T15:06:20Z,"Benzinga's Top Ratings Upgrades, Downgrades For January 18, 2022","Upgrades
"
18,SNOW,2022-01-18T12:18:05Z,William Blair Upgrades Snowflake to Outperform,
19,SNOW,2022-01-12T22:30:37Z,What 10 Analyst Ratings Have To Say About Snowflake,"Over the past 3 months, 10 analysts have published their opinion on Snowflake (NYSE:SNOW) stock. These analysts are typically employed by large Wall Street banks and tasked with understanding a company&#39;s business to predict how a stock will trade over the upcoming year."
20,SNOW,2022-01-12T18:09:59Z,Looking At Snowflake's Recent Whale Trades,"A whale with a lot of money to spend has taken a noticeably bullish stance on Snowflake.
Looking at options history for Snowflake (NYSE:SNOW) we detected 14 strange trades."
21,SNOW,2022-01-12T17:23:21Z,Why Snowflake Shares Are Heating Up Today,"Snowflake Inc (NYSE: SNOW) is trading higher Wednesday following positive analyst coverage from Barclays.

Barclays analyst Raimo Lenschow upgraded Snowflake from an Equal-Weight rating to an Overweight rating."
22,SNOW,2022-01-12T15:03:16Z,"Benzinga's Top Ratings Upgrades, Downgrades For January 12, 2022", 
23,SNOW,2022-01-12T09:46:21Z,Barclays Upgrades Snowflake to Overweight,
