,ticker,timestamp,headline,summary
0,TER,2022-02-10T04:19:17Z,"Cannabis Movers & Shakers: The Parent Co., Flora Growth, GreenGrowth, AFC Gamma, Schwazze, TerrAscend, High Times","The Parent Co.&#39;s Dennis O&#39;Malley To Step Down As COO

"
1,TER,2022-01-31T17:59:27Z,"Here's Why Piper Sandler Considers DRAM Pricing ""Slightly Negative"" For Micron And Others","
"
2,TER,2022-01-31T14:15:04Z,Bank of America And 4 Other Stocks Sold By Insiders,"Canada’s industrial product price rose 0.7% in December following a revised 0.1% increase in the previous month. Investors, meanwhile, focused on some notable insider trades."
3,TER,2022-01-28T17:51:33Z,On CNBC: Steve Weiss Sells Remainder Of Teradyne Stake,
4,TER,2022-01-28T17:15:19Z,Analysts Slash Teradyne Price Target Post Q4 Results,Analysts slashed price targets on&amp;nb
5,TER,2022-01-28T16:10:04Z,How Is The Market Feeling About Teradyne Inc?,"Teradyne Inc&#39;s (NASDAQ:TER) short percent of float has risen 32.43% since last its last report. The company recently reported that it has 5.58 million shares sold short, which is 3.43% of all regular shares that are available for trading."
6,TER,2022-01-28T15:17:35Z,"Benzinga's Top Ratings Upgrades, Downgrades For January 28, 2022","Upgrades
"
7,TER,2022-01-28T13:44:32Z,"Morgan Stanley Maintains Overweight on Teradyne, Lowers Price Target to $132",
8,TER,2022-01-28T13:37:19Z,"Susquehanna Maintains Positive on Teradyne, Lowers Price Target to $150",
9,TER,2022-01-28T13:10:24Z,12 Information Technology Stocks Moving In Friday's Pre-Market Session, 
10,TER,2022-01-28T12:26:25Z,"Rosenblatt Maintains Buy on Teradyne, Lowers Price Target to $165",
11,TER,2022-01-28T12:13:33Z,10 Biggest Price Target Changes For Friday,"
	UBS raised the price target on  Apple Inc.  (NASDAQ: AAPL) from $175 to $185. Apple shares rose 3.6% to $164.94 in pre-market trading.
"
12,TER,2022-01-28T09:59:13Z,64 Biggest Movers From Yesterday,"Gainers

 "
13,TER,2022-01-28T10:40:31Z,"Deutsche Bank Downgrades Teradyne to Hold, Announces $120 Price Target",
14,TER,2022-01-28T10:13:24Z,"Piper Sandler Maintains Overweight on Teradyne, Lowers Price Target to $163",
15,TER,2022-01-28T09:43:17Z,"Stifel Downgrades Teradyne to Hold, Lowers Price Target to $115",
16,TER,2022-01-28T09:36:21Z,"Keybanc Maintains Overweight on Teradyne, Lowers Price Target to $140",
17,TER,2022-01-27T21:19:09Z,Peering Into Teradyne Inc's Recent Short Interest,"Teradyne Inc&#39;s (NASDAQ:TER) short percent of float has risen 32.43% since last its last report. The company recently reported that it has 5.58 million shares sold short, which is 3.43% of all regular shares that are available for trading."
18,TER,2022-01-27T19:33:35Z,Mid-Afternoon Market Update: US Stocks Turns Lower In Volatile Trading; Nasdaq Tumbles 150 Points,"US stocks turned lower in another volatile trading session on Thursday despite stronger-than-expected GDP data. The country’s economy grew 6.9% on quarter during the last three months of previous year, up from 2.3% expansion in the prior quarter and also above market estimates of 5.5%."
19,TER,2022-01-27T18:01:15Z,10 Information Technology Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
20,TER,2022-01-27T17:37:33Z,12 Information Technology Stocks Moving In Thursday's Intraday Session, 
21,TER,2022-01-27T17:11:53Z,Mid-Day Market Update: Dow Jumps Over 500 Points; Seagate Shares Surge On Upbeat Results,"The Dow Jones extended gains, surging by more than 500 points. The country’s economy grew 6.9% on quarter during the last three months of previous year, up from 2.3% expansion in the prior quarter and also above market estimates of 5.5%."
22,TER,2022-01-27T17:11:12Z,46 Stocks Moving In Thursday's Mid-Day Session,"Gainers


	Indonesia Energy Corporation Limited (NASDAQ: INDO) shares jumped 158.2% to $7.23 after tumbling 18% on Wednesday. Indonesia Energy said it projects to commence drilling of 2 back-to-back new wells within 30 days and a third by mid-year.
"
23,TER,2022-01-27T17:02:51Z,This Is What Whales Are Betting On Teradyne,"Someone with a lot of money to spend has taken a bullish stance on Teradyne (NASDAQ:TER).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
