,ticker,timestamp,headline,summary
0,TSM,2022-02-09T14:09:58Z,Taiwan Semiconductor Eying More Long-Term Contracts,
1,TSM,2022-02-08T21:01:45Z,What Are Whales Doing With Taiwan Semiconductor,"Someone with a lot of money to spend has taken a bearish stance on Taiwan Semiconductor (NYSE:TSM).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
2,TSM,2022-02-07T19:17:30Z,"Chart Wars: Between Nvidia, Taiwan Semiconductor, Which Stock Looks Set To Fly Higher?","NVIDIA Corporation (NASDAQ: NVDA) and Taiwan Semiconductor Manufacturing Company, Ltd. (NYSE: TSM) were each trading 1% higher on Monday despite the broad sector ETF SPDR S&amp;P 500 consolidating with an inside bar p"
3,TSM,2022-02-07T17:19:32Z,Here Are Two IT Stocks That Morgan Stanley Upgraded Today,"
"
4,TSM,2022-02-01T18:05:45Z,Taiwan Semiconductor Whale Trades Spotted,"Someone with a lot of money to spend has taken a bullish stance on Taiwan Semiconductor (NYSE:TSM).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
5,TSM,2022-01-28T17:38:24Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
6,TSM,2022-01-26T19:29:40Z,Shares of several companies in the broader technology sector were trading higher as investors weigh the Federal Reserve reserve decision voted to leave rates unchanged.,
7,TSM,2022-01-26T19:03:46Z,Looking At Taiwan Semiconductor's Recent Whale Trades,"Someone with a lot of money to spend has taken a bearish stance on Taiwan Semiconductor (NYSE:TSM).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
8,TSM,2022-01-26T17:38:12Z,10 Information Technology Stocks Whale Activity In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
9,TSM,2022-01-24T15:11:52Z,Shares of several companies in the broader technology sector are trading lower on a continued market sell-off.,
10,TSM,2022-01-24T15:03:38Z,Peering Into Taiwan Semiconductor Manufacturing Company LTD.'s Recent Short Interest,"Taiwan Semiconductor Manufacturing Company LTD.&#39;s (NYSE:TSM) short percent of float has fallen 24.0% since last its last report. The company recently reported that it has 9.96 million shares sold short, which is 0.19% of all regular shares that are available for trading."
11,TSM,2022-01-24T14:14:05Z,TSMC Aims To Construct Advanced Packaging Fab In Taiwan,"Taiwan Semiconductor Manufacturing Co Ltd (NYSE: TSM) aims to build a new advanced packaging plant in Chiayi or Yunlin county, southern Taiwan, "
12,TSM,2022-01-24T12:53:33Z,"TSMC Looks To Hire Over 8,000 People In 2022","Taiwan’s top two chipmakers plan to hire over 10,000 engineers in 2022 to bolster their aggressive expansion plans and maintain their technological edge, "
13,TSM,2022-01-21T10:11:16Z,Intel To Spend $20B On Ohio Plant: Report,"
"
14,TSM,2022-01-20T18:19:05Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
15,TSM,2022-01-20T14:42:59Z,Tencent Emerges As China's Most Valuable Private Company: Hurun Report,"
"
16,TSM,2022-01-20T13:48:05Z,'Intel says it will switch to TSMC's 2019 chipmaking tech by 2025 -9to5 Mac Report,
17,TSM,2022-01-19T20:06:08Z,Taiwan Semiconductor Whale Trades For January 19,"Someone with a lot of money to spend has taken a bearish stance on Taiwan Semiconductor (NYSE:TSM).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
18,TSM,2022-01-19T18:19:35Z,"$1000 Invested In This Stock 15 Years Ago, Would Be Worth This Much",Taiwan Semiconductor (NYSE:TSM) has outperformed the market over the past 15 years by 10.14% on an annualized basis. 
19,TSM,2022-01-17T14:30:30Z,"PC Processor Prices Poised to Rise Substantially in 2022 to Reflect Rising Foundry Costs, According to Industry Sources - DIgiTimes",
20,TSM,2022-01-14T19:24:48Z,Looking At Taiwan Semiconductor's Recent Whale Trades,"Someone with a lot of money to spend has taken a bearish stance on Taiwan Semiconductor (NYSE:TSM).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
21,TSM,2022-01-14T19:19:01Z,10 Information Technology Stocks With Whale Alerts In Today's Session,"This whale alert can help traders discover the next big trading opportunities.
Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner."
22,TSM,2022-01-14T11:06:45Z,"A Peek Into The Markets: US Stock Futures Higher Ahead Of JPMorgan, Citigroup Earnings",Pre-open movers
