,ticker,timestamp,headline,summary
0,TSP,2022-02-10T19:52:22Z,12 Industrials Stocks Moving In Thursday's Intraday Session, 
1,TSP,2022-02-10T18:03:40Z,What 4 Analyst Ratings Have To Say About TuSimple Hldgs,"Over the past 3 months, 4 analysts have published their opinion on TuSimple Hldgs (NASDAQ:TSP) stock. These analysts are typically employed by large Wall Street banks and tasked with understanding a company&#39;s business to predict how a stock will trade over the upcoming year."
2,TSP,2022-02-10T15:08:42Z,Analyst Ratings For TuSimple Hldgs,"Within the last quarter, TuSimple Hldgs (NASDAQ:TSP) has observed the following analyst ratings: "
3,TSP,2022-02-10T14:45:37Z,"Needham Maintains Buy on TuSimple Hldgs, Lowers Price Target to $54",
4,TSP,2022-02-10T09:32:00Z,"Keybanc Maintains Overweight on TuSimple Hldgs, Lowers Price Target to $40",
5,TSP,2022-02-09T21:15:54Z,"TuSimple Hldgs Q4 EPS $(0.53) Misses $(0.52) Estimate, Sales $2.05M",
6,TSP,2022-02-09T21:56:58Z,CORRECTION: TuSimple Hldgs Reports Q4 EPS $(0.53),
7,TSP,2022-02-09T21:54:11Z,CORRECTION: TuSimple Hldgs Q4 Sales $2.05M,
8,TSP,2022-02-09T21:16:53Z,TuSimple Hldgs Sees FY22 Sales $9M-$11M,
9,TSP,2022-02-09T09:02:33Z,"Earnings Scheduled For February 9, 2022"," 

Companies Reporting Before The Bell

• Equinor (NYSE:EQNR) is projected to report quarterly earnings at $0.63 per share on revenue of $25.05 billion."
10,TSP,2022-02-02T12:17:12Z,"TuSimple Automates Nation's First Trucking Lane In Arizona, Will Haul Driver Out Freight For Union Pacific Railroad",
11,TSP,2022-01-26T18:11:08Z,Shares of industrial companies were trading higher in sympathy with the broader market as stocks gain ahead of the Federal Reserve meeting.,
12,TSP,2022-01-26T18:13:04Z,New Energy Lands as Hottest Category Among Chinese Concept Stocks in 2021 – Bamboo Works Special Report,"Investors kept a close look at China’s solar and wind power stocks last year, but were least interested in the hobbled education sector

By Bamboo Works team"
13,TSP,2022-01-25T20:46:01Z,Hillwood Selects TuSimple To Facilitate Autonomous Trucking Operations,"
"
14,TSP,2022-01-25T12:19:42Z,Real Estate Developer Hillwood Selects TuSimple To Help Prepare Facilities For Autonomous Trucking Operations,
15,TSP,2022-01-19T15:34:59Z,Stocks That Hit 52-Week Lows On Wednesday," 

 

During Wednesday&#39;s morning trading, 400 companies set new 52-week lows."
16,TSP,2022-01-18T15:59:28Z,Stocks That Hit 52-Week Lows On Tuesday," 

Tuesday morning saw 454 companies set new 52-week lows."
17,TSP,2022-01-11T20:08:48Z,KeyBanc Sees 81% Upside In This Autonomous Driving Technology Company,"
"
18,TSP,2022-01-11T09:53:09Z,"Keybanc Initiates Coverage On TuSimple Hldgs with Overweight Rating, Announces Price Target of $50",
19,TSP,2022-01-07T19:24:11Z,TuSImple Shares Seeing Heavy Volume; Ticking Higher During CEO Appearance on CNBC,
20,TSP,2022-01-04T19:40:52Z,Nvidia Extends TuSimple Partnership For Autonomous Trucking; Showcases Omniverse Plans,"
"
21,TSP,2021-12-30T13:11:55Z,TuSimple Filed U.S. Patent Application #20210403050 'AUTONOMOUS DRIVING CRASH PREVENTION',
22,TSP,2021-12-29T18:51:44Z,What's Going On With TuSimple Shares Today?,TuSimple Hldgs (NASDAQ: TSP) is trading lower Wednesday after the company announced it successfully completed the world&#39;s first fully autonomous semi-truck run on open public roads without a human in the vehicle and without human intervention. 
23,TSP,2021-12-29T18:15:29Z,12 Industrials Stocks Moving In Wednesday's Intraday Session, 
24,TSP,2021-12-29T13:57:25Z,TuSimple shares were trading higher after the company announced it successfully completed the world's first fully autonomous semi-truck run on open public roads without a human in the vehicle and without human intervention.,
25,TSP,2021-12-29T13:57:48Z,"TuSimple Earlier Said Co First To Successfully Operate Drive Out, Fully Autonomous Semi-Truck On Open Public Roads",
26,TSP,2021-12-29T13:33:57Z,9 Industrials Stocks Moving In Wednesday's Pre-Market Session, 
27,TSP,2021-12-16T19:41:56Z,"DHL Partners With TuSimple, Orders 100 Autonomous Trucks","
"
28,TSP,2021-12-07T12:28:40Z,"China Renaissance Initiates Coverage On TuSimple Hldgs with Hold Rating, Announces Price Target of $39.1",
29,TSP,2021-11-30T21:38:27Z,12 Industrials Stocks Moving In Tuesday's After-Market Session,"Gainers

"
30,TSP,2021-11-18T04:51:54Z,Cathie Wood Sells $32M In Coinbase As Shares Surge And Loads Up On The Dip In This Stock,Cathie Wood-led money managing firm Ark Invest on Wednesday sold more shares in Coinbase Global Inc (NASDAQ: COIN) even as the largest U.S. cryptocurrency exchange&#39;s stock continued to regain ground after reporting dismal third-quarter results earlier this month.
31,TSP,2021-11-17T04:38:19Z,Cathie Wood Buys Another $11.2M In Robinhood On Tuesday — These Are Other Key Trades,"Cathie Wood-led Ark Invest on Tuesday further raised its exposure in Robinhood Market Inc (NASDAQ: HOOD) as the stock of the company that operates a marketplace for stocks, options, and cryptocurrency slipped lower."
