,ticker,timestamp,headline,summary
0,TXN,2022-02-04T18:52:40Z,Texas Instruments Files For Mixed Shelf; Size Not Disclosed,
1,TXN,2022-02-04T13:50:47Z,"Barclays Maintains Underweight on Texas Instruments, Lowers Price Target to $170",
2,TXN,2022-02-04T13:23:32Z,"Truist Securities Maintains Hold on Texas Instruments, Lowers Price Target to $195",
3,TXN,2022-02-04T12:06:39Z,"CNBC's Final Trades: Ranpak, AbbVie, Texas Instruments And This Financial Stock","On CNBC’s “Halftime Report Final Trades,” Jon Najarian named Ranpak Holdings Corp (NYSE: PACK) as his pick, saying it&#39;s a $2 billion company."
4,TXN,2022-02-03T18:00:30Z,"CNBC Halftime Report Final Trades: Ranpack, AbbVie, Texas Instruments, Carlyle Group",
5,TXN,2022-01-26T22:24:26Z,Looking At Texas Instruments's Recent Whale Trades,"Someone with a lot of money to spend has taken a bearish stance on Texas Instruments (NASDAQ:TXN).
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga."
6,TXN,2022-01-26T15:25:43Z,Why Nvidia And Micron Shares Are Rising Today,"Shares of companies in the semiconductor space, including NVIDIA Corp (NASDAQ: NVDA) and Micron Technology Inc (NASDAQ: MU), are trading higher Wednesday, rebounding from recent weakness amid a rise in"
7,TXN,2022-01-26T14:39:06Z,Why Texas Instruments Stock Is Trading Higher Today,Texas Instruments Inc (NASDAQ: TXN) is trading higher Wednesday morning after the company announced better-than-expected fourth-quarter financial results and issued guidance above estimates.
8,TXN,2022-01-26T14:07:34Z,"Mizuho Maintains Neutral on Texas Instruments, Raises Price Target to $190",
9,TXN,2022-01-26T14:02:17Z,"Deutsche Bank Maintains Hold on Texas Instruments, Raises Price Target to $180",
10,TXN,2022-01-26T13:59:36Z,"Benzinga Pro's Top 5 Stocks To Watch For Wednesday, Jan. 26, 2022: HES, FFIV, TXN, LVS, AAPL","Today&#39;s 5 Stock Ideas:


	
	Hess (HES) - Shares up premarket. The company reported better-than-expected Q4 EPS results.
	
	
	F5 (FFIV) - Shares down premarket. The company issued Q2 sales guidance below"
11,TXN,2022-01-26T10:16:30Z,A Peek Into The Markets: US Stock Futures Gain; Fed Policy Decision In Focus,Pre-open movers
