,ticker,timestamp,headline,summary
0,VTEX,2022-01-26T12:41:54Z,Pivotree And VTEX Deploy B2B Commerce Marketplace For CAE And Launch Four Digital Storefronts To Date,
1,VTEX,2022-01-25T16:01:43Z,Analyst Ratings For Vtex,Analysts have provided the following ratings for Vtex (NYSE:VTEX) within the last quarter: 
2,VTEX,2022-01-25T11:43:33Z,"Keybanc Maintains Overweight on Vtex, Lowers Price Target to $10",
3,VTEX,2022-01-19T14:09:12Z,"Goldman Sachs Maintains Buy on Vtex, Lowers Price Target to $16",
4,VTEX,2022-01-18T15:06:20Z,"Benzinga's Top Ratings Upgrades, Downgrades For January 18, 2022","Upgrades
"
5,VTEX,2022-01-18T12:23:26Z,"Piper Sandler Initiates Coverage On Vtex with Overweight Rating, Announces Price Target of $13",
6,VTEX,2022-01-18T11:47:44Z,10 Biggest Price Target Changes For Tuesday,"
	Keybanc raised  J.B. Hunt Transport Services, Inc.  (NASDAQ: JBHT) price target from $210 to $225. J.B. Hunt shares fell 0.1% to $202.00 in pre-market trading.
"
7,VTEX,2022-01-18T09:58:04Z,"goldman sachs Upgrades Vtex to Buy, Lowers Price Target to $16",
8,VTEX,2022-01-06T17:14:13Z,Stocks That Hit 52-Week Lows On Thursday," 

 

On Thursday, 615 stocks hit new 52-week lows."
9,VTEX,2021-11-17T12:37:35Z,VTEX Sees Q4 Sales $35.3M-$37.3M vs $36.93M Est.; Sees FY21 Sales $124M-$126M vs $124.59M Est.,
10,VTEX,2021-11-17T12:36:03Z,"Vtex Q3 EPS $(0.12) Misses $(0.09) Estimate, Sales $31.90M Beat $31.19M Estimate",
11,VTEX,2021-11-17T08:59:02Z,"Earnings Scheduled For November 17, 2021"," 

Companies Reporting Before The Bell

• ZIM Integrated Shipping (NYSE:ZIM) is projected to report quarterly earnings at $9.25 per share on revenue of $2.77 billion."
12,VTEX,2021-10-27T12:35:52Z,VTEX And Stripe Launch Integration For Retailers In Digital Commerce,
13,VTEX,2021-10-21T16:58:10Z,Expert Ratings For Vtex," Within the last quarter, Vtex (NYSE:VTEX) has observed the following analyst ratings: "
14,VTEX,2021-10-21T13:02:14Z,"Why Jim Cramer Likes Celanese, Prefers ON Semiconductor Over This Stock","On CNBC’s &#34;Mad Money Lightning Round,&#34; Jim Cramer said that he considers FIGS, Inc. (NYSE: FIGS) an &#34;interesting idea&#34; and advised to go for the stock in the same way he went fo"
15,VTEX,2021-10-21T08:34:20Z,"Keybanc Maintains Overweight on Vtex, Lowers Price Target to $30",
16,VTEX,2021-09-24T14:14:41Z,"Morgan Stanley Upgrades Vtex to Overweight, Announces $30 Price Target",
17,VTEX,2021-08-17T20:12:31Z,"VTEX Sees Q3 Sales $31M-$31.5M, FY21 Sales $124M-$126M",
18,VTEX,2021-08-17T20:11:35Z,Vtex Q2 Sales $30.90M Up From $25.30M YoY,
19,VTEX,2021-08-16T14:33:57Z,"Benzinga's Top Ratings Upgrades, Downgrades For August 16, 2021"," Upgrades
"
20,VTEX,2021-08-16T10:14:14Z,"Goldman Sachs Initiates Coverage On Vtex with Neutral Rating, Announces Price Target of $25",
21,VTEX,2021-08-16T10:11:36Z,"Itau BBA Initiates Coverage On Vtex with Outperform Rating, Announces Price Target of $35.6",
22,VTEX,2021-08-16T09:19:06Z,"JP Morgan Initiates Coverage On Vtex with Neutral Rating, Announces Price Target of $35",
23,VTEX,2021-08-16T08:35:32Z,"Keybanc Initiates Coverage On Vtex with Overweight Rating, Announces Price Target of $35",
24,VTEX,2021-08-05T09:18:03Z,88 Biggest Movers From Yesterday,"Gainers


"
25,VTEX,2021-08-04T18:30:51Z,Mid-Afternoon Market Update: Dow Falls 275 Points; BeyondSpring Shares Spike Higher,"Toward the end of trading Wednesday, the Dow traded down 0.78% to 34,841.21 while the NASDAQ rose 0.29% to 14,803.80. The S&amp;P also fell, dropping 0.26% to 4,411.84.

"
26,VTEX,2021-07-28T14:14:39Z,The IPO Recap – Party Is Everything But Over,"Last week&#39;s 19 IPO week had a lot of life sciences and software. This week, US IPO activity continues at a record with 25 scheduled IPOs, marking the fifth week in 2021 with at least 17 US IPOs, the most since 2000. With the August lull just around the corner, five SPACs raised $895.

Here is a little recap as we prepare for another record week."
27,VTEX,2021-07-23T09:18:19Z,61 Biggest Movers From Yesterday,"Gainers


"
28,VTEX,2021-07-22T17:57:21Z,38 Stocks Moving In Thursday's Mid-Day Session,"Gainers


	ImmunoPrecise Antibodies Ltd. (NASDAQ: IPA) shares climbed 129.7% to $12.75 after the company announced new results from its TATX-03 PolyTope Therapy, demonstrating potent pseudovirus neutralizing activity against the SARS-CoV-2 Delta (B.1.617.2) variant.
"
29,VTEX,2021-07-22T09:01:46Z,61 Biggest Movers From Yesterday,"Gainers


"
30,VTEX,2021-07-21T14:15:53Z,"IPOs For Today: CS Disco, Kaltura, Paycor HCM, Twin Vee PowerCats, Vtex",
31,VTEX,2021-07-21T10:37:51Z,"VTEX Raised $264M Via IPO At $19 Per Share, Trading Begins Today","
"
32,VTEX,2021-07-18T20:23:35Z,A Look At Upcoming IPOs For The Week,"With the start of a new week comes the excitement surrounding a new set of companies looking to make an impact through their public offerings. According to Benzinga Pro, these enticing companies are scheduled to trade publicly this week. "
