,ticker,timestamp,headline,summary
0,ZBRA,2022-02-10T13:16:10Z,Zebra Technologies: Q4 Earnings Insights," 

Zebra Technologies (NASDAQ:ZBRA) reported its Q4 earnings results on Thursday, February 10, 2022 at 06:30 AM.

Here&#39;s what investors need to know about the announcement."
1,ZBRA,2022-02-10T12:27:04Z,Zebra Technologies Tops Q4 Consensus Amid Supply Chain Challenges; Issues Cautious Outlook,"
"
2,ZBRA,2022-02-10T11:32:39Z,Zebra Technologies Sees Q1 EPS $3.70-$4.00 Vs. $4.40 Est.; Expects FY22 Sales Growth Of 3-7%,
3,ZBRA,2022-02-10T11:31:11Z,"Zebra Technologies Q4 EPS $4.54 Beats $4.40 Estimate, Sales $1.47B Beat $1.46B Estimate",
4,ZBRA,2022-02-10T08:47:25Z,"Earnings Scheduled For February 10, 2022"," 

Companies Reporting Before The Bell

• Canada Goose Hldgs (NYSE:GOOS) is projected to report quarterly earnings at $1.46 per share on revenue of $584.49 million."
5,ZBRA,2022-02-08T13:22:27Z,10 Biggest Price Target Changes For Tuesday,"
	Keybanc raised  Take-Two Interactive Software, Inc.  (NASDAQ: TTWO) price target from $185 to $190. Take-Two Interactive shares fell 2.8% to $170.21 in pre-market trading.
"
6,ZBRA,2022-02-08T11:24:45Z,"Needham Maintains Buy on Zebra Technologies, Lowers Price Target to $620",
7,ZBRA,2022-02-04T14:00:51Z,Zebra Technologies Files For FCC Approval Of RTL10C0 Tablet PC With Windows OS,
8,ZBRA,2022-01-19T13:06:04Z,HBCU Legacy Bowl Launches Exclusive Partnership With Zebra Technologies,
9,ZBRA,2021-11-03T10:56:43Z,"Needham Maintains Buy on Zebra Technologies, Raises Price Target to $660",
10,ZBRA,2021-11-02T13:21:07Z,"Zebra Technologies Stock Gains After Q3 Beat, Solid Q4 Outlook","
"
11,ZBRA,2021-11-02T10:38:34Z,Zebra Technologies Sees Q4 Adj. EPS $4.20-$4.50 vs $4.17 Est.,
12,ZBRA,2021-11-02T10:36:23Z,"Zebra Technologies Q3 Adj. EPS $4.55 Beats $4.06 Estimate, Sales $1.44B Beat $1.40B Estimate",
13,ZBRA,2021-11-02T08:17:21Z,"Earnings Scheduled For November 2, 2021"," 

Companies Reporting Before The Bell

• Thomson Reuters (NYSE:TRI) is expected to report quarterly earnings at $0.48 per share on revenue of $1.86 billion."
14,ZBRA,2021-11-01T15:21:23Z,Earnings Outlook For Zebra Technologies,"Zebra Technologies (NASDAQ:ZBRA) is set to give its latest quarterly earnings report on Tuesday, 2021-11-02. Here&#39;s what investors need to know before the announcement.
Analysts estimate that Zebra Technologies will likely report an Earnings Per Share (EPS) of $4.06 "
15,ZBRA,2021-10-21T14:36:46Z,"Zebra Adds to Fulfillment Stripes With Fetch Robotics AMRs, Workflows","This summer, Zebra Technologies acquired Fetch Robotics for $290 million in cash."
16,ZBRA,2021-10-21T12:21:16Z,Zebra Technologies Highlights Latest Autonomous Mobile Robots,
17,ZBRA,2021-10-07T17:49:48Z,Industry Leaders Chart Future of Supply Chain Visibility,"Shopping has never been easier for the consumer. They can have products delivered within a few hours, the same day, the next day, or in two days. They can shop in person, online, and through marketplaces. They can pick up products in-store or have them delivered to their doorsteps."
18,ZBRA,2021-09-16T14:02:16Z,"Zebra Tech To Present At JP Morgan's US All Starts Conference Thursday, Sept. 23, 2021 At 12 p.m. EDT",
19,ZBRA,2021-09-13T11:21:08Z,"Stephens & Co. Maintains Overweight on Zebra Technologies, Raises Price Target to $700",
20,ZBRA,2021-09-09T22:46:50Z,Director Of Zebra Technologies Makes $5.23 Million Sale,"Richard Keyser, Director at Zebra Technologies (NASDAQ:ZBRA), made a large insider sell on September 8, according to a new SEC filing."
21,ZBRA,2021-09-09T17:37:36Z,"FourKites, Zebra Team Up On End-To-End Visibility Solution","In today&#39;s interconnected world, information silos — information management systems that are unable to communicate freely with other systems — can be the Achilles&#39; heel in a company&#39;s supply chain."
22,ZBRA,2021-09-09T14:48:40Z,"FourKites and Zebra Technologies Expand Relationship, Bringing End-to-End Visibility to North American and European Customers",
23,ZBRA,2021-09-02T13:33:35Z,5 Stocks Insiders Are Selling,"When insiders sell shares, it indicates their concern in the company’s prospects or that they view the stock as being overpriced. Either way, this signals an opportunity to go short on the stock. Insider sales should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a selling decision."
24,ZBRA,2021-08-27T15:12:23Z,Stocks That Hit 52-Week Highs On Friday," 

 

Before 10 a.m. ET Friday, 183 stocks hit new 52-week highs."
25,ZBRA,2021-08-26T14:02:37Z,Stocks That Hit 52-Week Highs On Thursday," 

 

Before 10 a.m. ET on Thursday, 91 companies hit new 52-week highs."
26,ZBRA,2021-08-24T14:04:21Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

During Tuesday&#39;s morning session, 95 companies made new 52-week highs."
27,ZBRA,2021-08-24T13:58:50Z,Price Over Earnings Overview: Zebra Technologies, 
28,ZBRA,2021-08-23T14:07:42Z,Stocks That Hit 52-Week Highs On Monday," 

 

Before 10 a.m. ET on Monday, 119 companies hit new 52-week highs."
29,ZBRA,2021-08-04T13:06:16Z,"Baird Maintains Outperform on Zebra Technologies, Raises Price Target to $560",
30,ZBRA,2021-08-04T10:34:04Z,"Needham Maintains Buy on Zebra Technologies, Raises Price Target to $600",
31,ZBRA,2021-08-03T19:54:01Z,"Zebra Technologies Beat On Q2 Earnings Led By Double-Digit Segment Growth, Margin Expansion; Positive Q3 Guidance","
"
32,ZBRA,2021-08-03T14:06:07Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

During Tuesday&#39;s morning trading, 101 companies set new 52-week highs."
33,ZBRA,2021-08-03T11:17:07Z,Zebra Technologies: Q2 Earnings Insights," 

Shares of Zebra Technologies (NASDAQ:ZBRA) were unchanged after the company reported Q2 results.

Quarterly Results

Earnings per share increased 89.63% year over year to $4.57, which beat the estimate of $4.11."
34,ZBRA,2021-08-03T10:35:44Z,Zebra Technologies Sees Q3 Adj. EPS $3.90-$4.10 vs $3.93 Est.,
35,ZBRA,2021-08-03T10:34:45Z,UPDATE: Zebra Technologies Q2 Adj. EPS $4.57,
36,ZBRA,2021-08-03T10:34:06Z,"Zebra Technologies Q2 EPS $4.07 Misses $4.11 Estimate, Sales $1.38B Beat $1.35B Estimate",
37,ZBRA,2021-08-03T07:52:31Z,"Earnings Scheduled For August 3, 2021"," 

Companies Reporting Before The Bell

• Myriad Genetics (NASDAQ:MYGN) is likely to report earnings for its fourth quarter.

• Stellantis (NYSE:STLA) is expected to report earnings for its second quarter."
38,ZBRA,2021-08-02T15:15:22Z,Earnings Preview: Zebra Technologies," Zebra Technologies (NASDAQ:ZBRA) announces its next round of earnings this Tuesday, August 03. Here is Benzinga&#39;s everything-that-matters guide for this Tuesday&#39;s Q2 earnings announcement. "
39,ZBRA,2021-08-02T14:08:49Z,Stocks That Hit 52-Week Highs On Monday," 

 

Before 10 a.m. ET on Monday, 201 companies set new 52-week highs."
40,ZBRA,2021-07-26T14:11:42Z,Stocks That Hit 52-Week Highs On Monday," 

 

This morning 121 companies reached new 52-week highs."
41,ZBRA,2021-07-20T12:04:07Z,Zebra Announces Multi-Year Extension With Reese's Senior Bowl To 'Provide Player And Ball Tracking;' Terms Not Disclosed,
42,ZBRA,2021-07-12T14:14:21Z,Stocks That Hit 52-Week Highs On Monday," 

This morning 161 companies reached new 52-week highs."
43,ZBRA,2021-07-12T11:13:18Z,"Artificial Intelligence Is On The Side Of Apes? Tesla-Fame's AI-Based ETF Sells Facebook, Walmart And Buys AMC","The Qraft AI-Enhanced US Large Cap Momentum ETF (NYSE: AMOM), an exchange-traded fund driven by artificial intelligence, has sold a majority of its holdings in Facebook Inc. (NASDAQ: FB) and Walmart Inc. (N"
44,ZBRA,2021-07-08T18:15:06Z,Vera Bradley To Use Reflexis Systems to Manage Customer Appointments,"
"
45,ZBRA,2021-07-08T12:04:53Z,Vera Bradley Selects Zebra Technologies And Reflexis Systems To Manage Customer Appointments; Terms Not Disclosed,
46,ZBRA,2021-07-07T14:04:18Z,Stocks That Hit 52-Week Highs On Wednesday," 

 

Before 10 a.m. ET Wednesday, 138 stocks hit new 52-week highs."
47,ZBRA,2021-07-06T14:05:01Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

During Tuesday&#39;s morning session, 124 stocks hit new 52-week highs."
48,ZBRA,2021-07-02T14:27:10Z,10 Biggest Price Target Changes For Friday,"
	Credit Suisse raised the price target for  Capital One Financial Corporation (NYSE: COF) from $122 to $135. Capital One Financial shares rose 1.6% to close at $157.15 on Thursday.
"
49,ZBRA,2021-07-02T14:20:22Z,UPDATE: Needham On Zebra Technologies Price Target Raise: Firm Believes Continued Long-Tail Growth Initiatives With Ongoing Momentum Within Core Business Likely Resulting In 'Further Re-Rating' Of ZBRA Shares,
50,ZBRA,2021-07-02T14:17:41Z,"UPDATE: Needham On Zebra Technologies Price Target Raise: Firm Highlights Acquisition Of Fetch Robotics For $290M, Latest In A Series Of Investments That Comprise Co.'s Broader Enterprise Asset Intelligence Strategy",
51,ZBRA,2021-07-02T09:52:59Z,"Needham Maintains Buy on Zebra Technologies, Raises Price Target to $580",
52,ZBRA,2021-07-01T16:09:56Z,Zebra Technologies To Acquire Warehouse Automation Firm Fetch Robotics,"Zebra Technologies, which provides everything from mobile computers and printers to data capture and machine learning systems and even temperature monitoring and sensing technologies, is adding warehouse robotics to its portfolio."
53,ZBRA,2021-07-01T12:55:21Z,Zebra Tech To Acquire Fetch Robotics For $290M,"
"
54,ZBRA,2021-07-01T12:19:52Z,Zebra Technologies To Acquire Fetch Robotics For $290M,
55,ZBRA,2021-07-01T12:09:34Z,Zebra Technologies To Acquire Fetch Robotics For Purchase Price Of $290M,
56,ZBRA,2021-06-30T14:58:05Z,Stocks That Hit 52-Week Highs On Wednesday," 

 

This morning 132 companies reached new 52-week highs."
57,ZBRA,2021-06-29T14:05:50Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

Tuesday&#39;s morning session saw 105 companies set new 52-week highs."
58,ZBRA,2021-06-03T12:22:07Z,"Zebra Technologies' Reflexis Systems Reports Maverik - Adventure's First Stop Selected Co.'s Reflexis ONE To Integrate, Streamline Store Execution, Labor Scheduling For 6K Team Members At 360+ Locations, No Terms Disclosed",
59,ZBRA,2021-05-18T14:31:38Z,Price Over Earnings Overview: Zebra Technologies, 
60,ZBRA,2021-05-12T12:43:46Z,ATN International's Geoverse Says Joins Zebra Technologies' PartnerConnect Program,
61,ZBRA,2021-05-05T11:05:02Z,"Needham Maintains Buy on Zebra Technologies, Raises Price Target to $525",
62,ZBRA,2021-05-04T11:33:23Z,"Zebra Technologies Beats On Q1 Results, Raises FY21 Guidance","
"
63,ZBRA,2021-05-04T11:07:28Z,Recap: Zebra Technologies Q1 Earnings," 

Shares of Zebra Technologies (NASDAQ:ZBRA) remained unaffected after the company reported Q1 results.

Quarterly Results

Earnings per share rose 79.40% year over year to $4.79, which beat the estimate of $4.34."
64,ZBRA,2021-05-04T10:46:50Z,Zebra Technologies Sees Q2 EPS $4.00-$4.20 Vs. $3.62 Est.,
65,ZBRA,2021-05-04T10:45:55Z,"Zebra Technologies Q1 EPS $4.79 Beats $4.34 Estimate, Sales $1.35B Beat $1.31B Estimate",
66,ZBRA,2021-05-04T08:21:32Z,"Earnings Scheduled For May 4, 2021"," 

Companies Reporting Before The Bell

• Lancaster Colony (NASDAQ:LANC) is likely to report quarterly earnings at $1.24 per share on revenue of $340.02 million."
67,ZBRA,2021-04-21T14:05:50Z,"Benzinga's Top Ratings Upgrades, Downgrades For April 21, 2021", 
68,ZBRA,2021-04-21T11:42:19Z,10 Biggest Price Target Changes For Wednesday,"
	BMO Capital lifted the price target for  CSX Corporation (NASDAQ: CSX) from $95 to $110. CSX shares fell 0.1% to $98.34 in pre-market trading.
"
69,ZBRA,2021-04-21T10:55:04Z,"Morgan Stanley Downgrades Zebra Technologies to Underweight, Raises Price Target to $410",
70,ZBRA,2021-04-19T14:30:02Z,Stocks That Hit 52-Week Highs On Monday," 

 

Before 10 a.m. ET Monday, 197 stocks hit new 52-week highs."
71,ZBRA,2021-03-23T14:04:12Z,"Benzinga's Top Ratings Upgrades, Downgrades For March 23, 2021", 
72,ZBRA,2021-03-23T13:11:03Z,"Northcoast Research Upgrades Zebra Technologies to Buy, Announces $560 Price Target",
73,ZBRA,2021-03-23T12:51:01Z,Zebra Technologies: Debt Insights," 

Over the past three months, shares of Zebra Technologies (NASDAQ:ZBRA) rose by 22.32%. Before having a look at the importance of debt, let us look at how much debt Zebra Technologies has."
74,ZBRA,2021-03-02T15:24:28Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

Before 10 a.m. ET on Tuesday, 165 companies set new 52-week highs."
75,ZBRA,2021-02-24T18:00:59Z,"CNBC Halftime Report Final Trades Lowe's, IBM, Raytheon Technologies, Zebra Technologies",
76,ZBRA,2021-02-24T17:20:48Z,Stocks That Hit 52-Week Highs On Wednesday," 

 

During Wednesday&#39;s morning trading, 472 companies set new 52-week highs."
77,ZBRA,2021-02-23T17:37:35Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

Before 10 a.m. ET on Tuesday, 267 companies hit new 52-week highs."
78,ZBRA,2021-02-19T19:00:11Z,Stocks That Hit 52-Week Highs On Friday," 

 

Friday morning saw 331 companies set new 52-week highs."
79,ZBRA,2021-02-12T14:01:47Z,"Morgan Stanley Maintains Equal-Weight on Zebra Technologies, Raises Price Target to $380",
80,ZBRA,2021-02-12T11:55:43Z,"Needham Maintains Buy on Zebra Technologies, Raises Price Target to $515",
81,ZBRA,2021-02-11T16:16:41Z,Stocks That Hit 52-Week Highs On Thursday,"Before 10 a.m. ET on Thursday, 394 companies hit new 52-week highs."
82,ZBRA,2021-02-11T14:36:32Z,Recap: Zebra Technologies Q4 Earnings,"Shares of Zebra Technologies (NASDAQ:ZBRA) decreased 0.1% in pre-market trading after the company reported Q4 results.

Quarterly Results

Earnings per share increased 25.28% year over year to $4.46, which beat the estimate of $3.80."
83,ZBRA,2021-02-11T11:33:53Z,Zebra Technologies Sees Q1 Adj. EPS $4.30-$4.50 vs $3.17 Est.,
84,ZBRA,2021-02-11T11:31:59Z,"Zebra Technologies Q4 Adj. EPS $4.46 Beats $3.80 Estimate, Sales $1.31B Beat $1.25B Estimate",
85,ZBRA,2021-02-11T08:51:42Z,"Earnings Scheduled For February 11, 2021"," 

Companies Reporting Before The Bell

• Bluerock Residential Growth REIT, Inc. Class A Common Stock (AMEX:BRG) is expected to report quarterly loss at $0.55 per share on revenue of $54.86 million."
86,ZBRA,2021-02-10T15:23:13Z,Stocks That Hit 52-Week Highs On Wednesday," 

 

This morning 533 companies reached new 52-week highs."
87,ZBRA,2021-02-09T17:54:24Z,Stocks That Hit 52-Week Highs On Tuesday," 

 

On Tuesday, 596 companies set new 52-week highs."
88,ZBRA,2021-02-03T13:30:45Z,10 Biggest Price Target Changes For Wednesday,"
	Morgan Stanley lifted  Alphabet Inc (NASDAQ: GOOG) price target from $2,050 to $2,200. Alphabet shares gained 7.7% to $2,075.00 in pre-market trading.
"
